Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
MIN,116618.58555311814,1977.0,26.60513945471639,1977.0,1977.0,1828.0,5639.0,6382.0,1588.0,1132.0,273.0,60.0,123.0,867.0,804.0,563.0,53.0,754.0,43.0,56.0,81.0,115.0,105.0,65.0,0.2813004256767472,0.08821685941303667,0.11814478164869947,0.809575391469132,0.34775246644374813,0.4165436864307428,0.7642961528744908,0.1352432607539956,0.3032351311328737,0.22563459681917894,0.33847591896863094,10.921964609348537,68.23925353287967,8.895076371621201,0.5445544554455446,14.625478305911983,-1.3938821857203814,1.8671791131776883,-0.8509489359554173,8.851965475540155,24.493673958674407,23.70137138465784,2.5167876467455885,-0.04311089608104697,4.69004883550596,106.48721567820546,-0.04311089608104697,5.1086818519979715,-8.982515011114673,9.85222830907776,85.1206981241703,7.986688390374184,1.0505899907428617,1.3459511827842323,8.218270134753995,0.9095161400895317,-1.1544543999480739,105.66268304060276,105.13095383161911,91.14010491832303,105.31236606523025,102.8127295604599,97.35121440262985,105.77365079457037,0.0,0.0,0.0,0.0,3.0580942911939832,161.0,492.35318082105925,1006477.191632717,8.0,,0.12038741249921654
MON,116700.48043358442,1977.0,26.361014146610326,1977.0,1977.0,1879.0,4932.0,5443.0,1311.0,887.0,252.0,42.0,130.0,592.0,567.0,397.0,62.0,739.0,20.0,36.0,58.0,106.0,87.0,48.0,0.2652657829277972,0.07293771781627778,0.13577071412107294,0.6977310463066323,0.3198461713126952,0.4124961049904465,0.7323422763031417,0.14723032206264927,0.2857416346781187,0.23259232090207613,0.32079997478176214,5.7433800889197,63.752456713537015,4.133158574390386,2.4104354216424766,14.801999669789312,-0.8691373781169159,1.2310520984171598,1.5412980435255605,4.318769675875977,21.89311948760802,19.76018831611184,2.2441548224519035,0.1856111014855917,4.262569663745368,95.5447818371253,0.1856111014855917,-0.9125463776290417,-8.921183891570113,9.406985001250808,-11.224597215652466,-1.3588028270751238,1.0377143923355423,1.9457023555293307,7.898769061179497,0.5870833973951765,-0.09375978805014046,98.50579391835807,80.97572838445767,105.11830762951233,94.93331302770393,100.53693389283995,104.4160178130779,98.27816580348808,0.0,0.0,0.0,0.0,3.0758988214201715,162.0,498.29560903913284,1006559.0747749403,24.0,,0.0
NYM,118652.65483155134,1977.0,26.884809360500302,1977.0,1977.0,1768.0,4376.0,4957.0,1104.0,804.0,197.0,26.0,77.0,513.0,454.0,473.0,38.0,697.0,23.0,32.0,51.0,109.0,93.0,72.0,0.25230886411034903,0.09542061690498285,0.14060923896530164,0.8555195736443414,0.32539982096772235,0.3623756437803106,0.6877754647480331,0.11006677966996166,0.28263621031208386,0.251563447169659,0.3084806624242851,0.7251670959368872,46.224404013194224,0.8139207110353675,0.38168246923542465,11.609901915575474,0.09398527301521775,0.9655718439689727,0.4756677422506424,0.21252374229044282,13.263665244085534,11.978228883490853,1.3626287227699294,-0.6013969687449251,3.86675777638576,90.24438464836778,-0.6013969687449251,-2.2120723202824593,-7.453537454973287,7.836330851734238,-0.2461981624364853,0.4055717745795846,1.1030769158039744,1.9346169042375942,13.713738148073432,0.4958571455903037,-2.4504677515044784,93.69427408809089,105.93632743264791,108.86445823600548,96.58168780418814,88.3211640118643,78.05956453560201,97.19222445247968,0.0,0.0,0.0,0.0,2.4125715714908207,162.0,390.8365947145451,1008472.2360298567,25.0,,0.0
NYY,118377.59909831801,1977.0,29.0416160915554,1977.0,1977.0,1564.0,5177.0,5767.0,1474.0,1016.0,248.0,45.0,165.0,774.0,727.0,479.0,44.0,604.0,20.0,45.0,45.0,107.0,92.0,55.0,0.28406371848534767,0.08305878232685972,0.10473382984688745,0.8466060585103172,0.3447678600598232,0.4453762878118606,0.7901441478716839,0.16131256932651292,0.2936266849682677,0.21640367710074562,0.3474144620059335,10.914703325273525,76.10041409430717,11.811093910633778,4.856944685278307,16.633239579420437,-0.823174210398671,2.12350234826988,4.033770474879637,11.945530385168187,34.736042787738135,35.52164339539493,3.5577125873461357,0.13443647453440952,4.482343018802493,117.3376789379128,0.13443647453440952,12.304757952690125,-8.932360825875753,10.239328299804557,130.05830150842667,13.83914141356945,0.9382177123747274,2.5110426428586505,2.6315241893532164,1.4739352947045121,-1.7003520015589682,106.70063714778587,98.98390249001736,80.79453114676093,104.40851637214584,109.92929030759846,116.1165032164495,102.42205882863774,0.0,0.0,0.0,0.0,3.4564358293150685,162.0,559.9426044737298,1008199.2467487429,9.0,,0.061491815749956644
OAK,119092.0642500959,1977.0,26.853279631760646,1977.0,1977.0,1769.0,4646.0,5214.0,1123.0,836.0,151.0,30.0,106.0,548.0,477.0,444.0,31.0,781.0,31.0,39.0,53.0,95.0,172.0,84.0,0.2419302127752206,0.08515535054219409,0.14978902887380127,0.6056419626398158,0.3095014908684312,0.3565990354372842,0.6661005263057155,0.11466882266206366,0.26800629208745685,0.25527426014576143,0.298577900702899,-4.408049465883517,42.0770753651633,-3.10376087068887,-1.649789029535865,11.861467936334508,-0.9026066336540007,1.51430843621696,-2.552395663189866,-2.609305920915627,8.214074788445975,5.603624296212452,0.8491738089685269,0.4944549497732436,4.095465576855923,85.86964347125073,0.4944549497732436,-6.468319556559436,-7.2418628890710774,6.957899528353732,-71.02159929275513,-6.9488585982471704,1.033747582365932,1.92437847817046,5.974683544303797,-0.05411608331155505,-2.378690426208361,90.8743572958155,101.4824522878419,115.5513397770307,93.72854961286995,88.0169869001968,82.5412599344023,93.5210963831295,0.0,0.0,0.0,0.0,2.4801573396682013,161.0,399.30533179900266,1008898.8404296126,10.0,,0.11270286873417719
PHI,116851.04100034025,1977.0,29.396053079278666,1977.0,1977.0,2009.0,5174.0,5878.0,1438.0,969.0,244.0,51.0,174.0,784.0,746.0,541.0,73.0,760.0,35.0,67.0,58.0,111.0,108.0,64.0,0.2780783234421572,0.09203810757060227,0.12929567830367472,0.8721563142997619,0.34532761018152436,0.44839754582596125,0.7937251560074856,0.170319222383804,0.293117031129636,0.2509356932255869,0.3452853792218039,12.143753592611432,68.27724595076455,9.040721123754324,5.404697072838665,14.323412536390888,1.0882624726832502,1.1912489834334417,6.4911205876883535,9.392174894713124,31.39795700222581,34.8448382412384,3.2129707268273626,0.3514537709587998,4.682710858472917,108.93597150426656,0.3514537709587998,14.265859433449805,-8.016977630425073,9.47320601208288,122.96930187940598,12.407312475144863,1.0117539989579165,1.552523463352213,7.558183055461041,1.2929696033475206,1.3531888782994563,103.26369922204246,102.18105285977708,100.10511453134232,102.49644064809337,109.28712750744744,120.79070879685645,100.79634258094224,0.0,0.0,0.0,0.0,2.9764470153929903,162.0,482.18441646818644,1006702.1963252807,26.0,,0.0
PIT,119231.24545909015,1977.0,27.958173637727047,1977.0,1977.0,1976.0,5440.0,6001.0,1505.0,1055.0,269.0,56.0,125.0,707.0,643.0,443.0,73.0,839.0,34.0,38.0,45.0,91.0,256.0,119.0,0.27643890379386765,0.07382102942226296,0.13981003120813199,0.6486596550591568,0.33251372638860194,0.41568389253724386,0.7481976189258457,0.13924498874337612,0.3055449826495584,0.23446092275287447,0.32869296628211775,7.2989960458954615,62.738388863722136,4.2687783251408,5.552241293117814,14.146301267525205,0.12786153017925345,1.176519000724725,5.680102823297067,4.842345362824985,25.845268454371986,27.633378360217737,2.64165079825841,0.5735670376841865,5.266598368360874,98.0707306773051,0.5735670376841865,7.642758499830961,-8.411072199233342,9.500236865089592,30.8697030544281,3.239937849342823,1.0244967974616852,2.363241398508109,6.241293117813698,0.8332928079590909,2.3516979873260513,102.65490478109463,81.95638424848211,108.24568439054183,98.69316097705158,101.3138876191405,98.75280459431039,105.07003508578829,0.0,0.0,0.0,0.0,2.9396427754874184,162.0,476.22212964505917,1009036.9788368605,27.0,,0.0
SDP,118034.10005104645,1977.0,25.203675344563553,1977.0,1977.0,2128.0,5188.0,5877.0,1299.0,925.0,225.0,46.0,103.0,652.0,576.0,549.0,61.0,951.0,26.0,26.0,85.0,91.0,131.0,53.0,0.24996105126288923,0.0934150071322103,0.16181725336123873,0.6285115375579376,0.32270578902705466,0.37156225653309516,0.6942680455601499,0.12160120527020589,0.2860320381798537,0.2727582098009188,0.3092084802226506,0.3896085345194594,56.88308575219757,1.3015080804382957,-1.8068413886997958,14.415268778239033,-0.017779085382322216,1.198888479569269,-1.8243130312730829,2.248779916280693,16.038624142815912,15.441817417839275,1.6540957264752834,0.9472718358423985,4.54848623301975,92.06880037845067,0.9472718358423985,0.33880292816320434,-8.648290652368141,9.37007484519916,-3.8589005023241043,0.11560060549527407,1.0584501246627758,1.630147537157273,12.62702058873575,0.6087061098304678,0.09433232746040088,92.82241958066768,103.70969192679999,125.2844247649819,95.78207411339298,90.56020061815471,86.23980059068744,98.39345738861255,0.0,0.0,0.0,0.0,2.995535011932959,162.0,485.2766717713119,1007862.146503318,29.0,,0.0
SEA,117305.16255418473,1977.0,26.20323441147049,1977.0,1977.0,1663.0,5413.0,5998.0,1381.0,1000.0,215.0,33.0,133.0,620.0,582.0,423.0,22.0,765.0,35.0,42.0,80.0,111.0,110.0,66.0,0.2551101737882628,0.07052350743764588,0.12754251369256417,0.6109002099359786,0.3109039369474824,0.38053154281077023,0.6914354797582528,0.1254213690225075,0.2756411330495165,0.22024008153384456,0.3083237403175605,-3.1204494803753784,50.35098402040223,-4.830996153467376,0.5856952317439147,13.644143073392579,-2.1827510027062718,1.7418957815245328,-1.5970557709623572,-4.85258231560614,8.936400768348616,9.46729372101587,0.9171469348953303,-0.021586162138763826,4.021238556106416,86.53527010026392,-0.021586162138763826,-5.7094162872526795,-8.065876069104485,7.785329215039747,-106.56960034370422,-10.47164160758257,0.9858539862488063,2.224468324804749,5.406302100700233,-0.24628847300827444,0.44417162237659324,95.82504316718672,84.04520013297285,98.38977157748138,94.15326238737357,93.92408977667513,90.28119048823477,96.14838769794017,0.0,0.0,0.0,0.0,2.8352928337279093,162.0,459.3174391463821,1007152.9561520506,11.0,,0.1147713474991664
SFG,117285.52242152467,1977.0,26.76785098309762,1977.0,1977.0,2064.0,5097.0,5798.0,1302.0,925.0,209.0,38.0,130.0,641.0,597.0,556.0,59.0,820.0,21.0,46.0,75.0,112.0,88.0,55.0,0.25513733623628837,0.09589513576215937,0.14142807808313212,0.8758431779436013,0.32754838882683684,0.3877888528839254,0.7153372417107623,0.1326515166476371,0.2799124782926872,0.25974473857709557,0.31741453829490657,2.6890463146922867,51.65538222721553,1.1986885203235396,-1.7598343685300206,12.494591022336296,-0.5728864006726402,1.0391496311342803,-2.3321137204380764,1.13922552995775,12.340852462990254,14.426919896616942,1.2737763325960623,-0.05946299036578945,3.9427357832606176,93.0339663697306,-0.05946299036578945,-1.5314289228990674,-7.755893712599896,8.134218588817085,-11.924700051546097,-1.190538888797164,1.0569753274912668,1.7175049330417391,16.387202483615038,0.3612765585406124,-1.6845915964464262,94.74462023249896,106.46314005089866,109.4984313490174,97.2194026916087,94.51507976705484,94.07670193995529,96.2888088721323,0.0,0.0,0.0,0.0,2.596412555879613,162.0,420.6188340807175,1007134.3323559848,30.0,,0.0
