Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
CIN,116731.50879848628,1947.0,28.686660359508043,1947.0,1947.0,1634.0,4691.0,5285.0,1208.0,875.0,215.0,38.0,80.0,604.0,533.0,486.0,0.0,458.0,19.0,89.0,87.0,39.0,0.0,0.25769501788684956,0.09195837228893095,0.08666035907057713,1.4027894572906339,0.3287848652783349,0.37114126927228,0.699926134550615,0.11344625138543046,0.2697534942760643,0.19375591399432357,0.3298048944287009,4.084015523836516,57.53110796081938,-1.0673571836767042,-4.380889309366131,13.791666169269336,0.6048316134945221,1.9942032176391518,-3.7760576958716086,-0.6732924201447127,11.336519270892166,8.74080600184631,1.148703342831473,0.3940647635319911,3.5894307181201666,87.37013319539952,0.3940647635319911,94.05229816923104,93.4864141614211,103.4522747695458,94.18376895092293,91.32619505276436,85.68471706718523,94.71306885242925,0.0,0.0,0.0,0.0,2.9414650628174073,154.0,452.9856196783349,1006589.9583727531,18.0,,0.0
CLE,116552.74653833164,1947.0,28.41624451198919,1947.0,1947.0,1868.0,5319.0,5922.0,1386.0,991.0,232.0,51.0,112.0,684.0,647.0,499.0,0.0,591.0,14.0,90.0,103.0,29.0,25.0,0.2601178529822694,0.08426207314775412,0.09979736539395474,1.5714030467695037,0.32516593626916585,0.3864103650349544,0.7115763013041202,0.1262925120526849,0.27367912876224254,0.20297196932792977,0.33324472780390524,3.449725778467247,55.11649413259037,4.949137760891963,5.9994931576279775,13.332265399192604,0.7699032777430328,1.147763200282575,6.766357178452252,4.296613601607806,25.54299937953524,28.909624032599638,2.5730182387996483,-0.6525241592841563,3.649867066265429,100.68788932230082,-0.6525241592841563,99.10347243501356,80.84634345226793,115.90211514919726,94.95893478063685,102.40524246366066,109.95000134215915,98.79746748851423,0.0,0.0,0.0,0.0,2.7891506803816277,157.0,437.8966565349544,1006414.8122255994,5.0,,0.0
DET,118331.7070052838,1947.0,29.537242202147606,1947.0,1947.0,1730.0,5032.0,5867.0,1303.0,940.0,223.0,42.0,98.0,694.0,627.0,730.0,0.0,544.0,12.0,93.0,126.0,52.0,58.0,0.2581060156717232,0.124424748131413,0.09272200395534344,1.8460222607446737,0.3539845591622635,0.37895002631293684,0.7329345854752002,0.12084401064121356,0.2727433120980058,0.23385035016533154,0.3480496175648521,8.264739079170003,63.8623386780639,5.292809034284108,-1.5839440940855634,14.34659021694638,0.8687749176414898,1.23508554679254,-0.7151691764440735,3.6021420563230495,18.468648643617893,21.171852724172172,1.8660677697557753,-1.6906669779610586,3.766940807411893,102.09540212543777,-1.6906669779610586,98.32036811098773,119.38094501609423,107.68497080933484,103.35744552483803,100.41116880925318,105.18878184076775,98.44301398040587,0.0,0.0,0.0,0.0,2.9823546410056254,158.0,471.2120334071928,1008157.3185614453,6.0,,0.0
HG,117849.7556561086,1947.0,30.728135932033982,1947.0,1947.0,617.0,1826.0,2002.0,463.0,352.0,70.0,17.0,24.0,244.0,202.0,163.0,0.0,0.0,13.0,34.0,0.0,54.0,0.0,0.254087012966034,0.08141858104345653,,,0.3191808187257742,0.35188492591658344,0.6710657446423578,0.09779791295054945,,,0.31710080711634364,-0.599131722927744,20.063706954290165,-1.6779446796335373,-0.7142857142857143,5.331907876591374,0.2346444188446908,0.7224301085644564,-0.47964129544102346,-0.6927132461128535,4.881983443601953,3.723591191237941,0.4935574831311205,0.9852314335206843,4.670446628983149,83.03554823596507,0.9852314335206843,91.17296569888374,90.06715971435348,,91.6050730004611,92.18489711609998,94.92209536040211,,0.0,0.0,0.0,0.0,2.7363417832167833,64.0,175.12587412587413,1012770.7682317683,1137.0,,0.0
KCM,120041.64864864865,1947.0,30.12131329994435,1947.0,1947.0,584.0,1766.0,1990.0,493.0,378.0,72.0,24.0,19.0,335.0,255.0,204.0,0.0,0.0,20.0,49.0,0.0,60.0,0.0,0.2792661190055277,0.10251256252713568,,,0.3603015069452261,0.3797339948180905,0.7400355017633166,0.1004678758125628,,,0.35108314878377483,3.4617544750598506,24.778896316344447,1.5086239334452989,-2.748241206030151,5.500746449483699,-0.270062700071227,1.4151181887966304,-3.018303906101378,2.7418017595395385,6.639362491718489,5.995118306714196,0.6729260724850784,1.2331778260942399,5.2720293677762635,100.30972401220144,1.2331778260942399,99.33970472153672,107.51859682012662,,100.99676246542819,98.67476173769045,96.87236347402724,,0.0,0.0,0.0,0.0,2.7795593352311556,65.0,180.6713567839196,1015684.3417085427,1124.0,,0.0
MRS,111317.0,1947.0,30.542420027816412,1947.0,1947.0,208.0,694.0,799.0,179.0,142.0,28.0,4.0,5.0,115.0,100.0,95.0,0.0,0.0,10.0,14.0,0.0,17.0,0.0,0.2596642978986232,0.11889862284605757,,,0.3554443049687108,0.33374676874342935,0.6891910737121402,0.074082470844806,,,0.333160506619679,-0.020983518118210465,7.197579310130462,-0.6823665323791125,-0.5068836045056321,1.8627020518746558,0.0069756472625481765,0.4791974285897217,-0.49990795724308384,-0.4496088472381225,1.392382675983171,1.7858234783724138,0.14105705637936286,0.23275768514098985,3.908055695797231,89.635442214743,0.23275768514098985,92.36700381639855,124.70484374897576,,99.63523145650214,86.72487408523443,71.43123097497296,,0.0,0.0,0.0,0.0,2.91334406088861,21.0,61.180225281602006,1013826.337922403,1125.0,,0.0
NBY,112880.0,1947.0,29.46228239845261,1947.0,1947.0,364.0,1036.0,1151.0,264.0,219.0,28.0,13.0,4.0,136.0,121.0,106.0,0.0,0.0,9.0,24.0,0.0,14.0,0.0,0.2548352428827107,0.09209383096350997,,,0.3292788874239792,0.3186047178123371,0.6478836052363162,0.06376947492962641,,,0.311841904081333,-1.1625408037624378,9.401786335479894,-1.7141074677009758,-1.900955690703736,2.7260542447499923,0.26399112201184943,0.36935815651157466,-1.6369645686918866,-1.5389194555792274,-0.08047162300954724,-1.245530033437035,-0.006303817498591066,0.17518801212174856,3.8334040502631916,79.8819395784803,0.17518801212174856,91.52096417210946,101.87637362127363,,94.5032243491406,83.53890880203993,61.948109021676636,,0.0,0.0,0.0,0.0,2.633438953292789,34.0,89.53692441355344,1014466.1781059948,1138.0,,0.0
NE,119214.0904109589,1947.0,28.24234821876568,1947.0,1947.0,592.0,1785.0,2009.0,470.0,358.0,69.0,12.0,31.0,276.0,226.0,218.0,0.0,0.0,6.0,49.0,0.0,23.0,0.0,0.26273058226231955,0.10851169695121952,,,0.3454454948302638,0.3678396640701842,0.7132851589004481,0.1051090818078646,,,0.33901378412991984,2.3084361545440704,23.233746021299865,1.2159194989197126,-1.241911398705824,5.399636818618028,-0.06759001380653154,0.7316068288067707,-1.3095014125123554,1.548418233301788,6.370160468214231,6.794019364503236,0.6443055728106407,0.3324987343820753,3.9652351469403326,96.60186159220824,0.3324987343820753,94.36844671746394,120.03820522203112,,99.14304969182469,96.46066108750779,102.11993652288913,,0.0,0.0,0.0,0.0,3.005939374230961,59.0,177.3504230960677,1014687.7421602787,1140.0,,0.0
NYC,119064.83333333333,1947.0,28.041537507749535,1947.0,1947.0,434.0,1471.0,1618.0,414.0,315.0,63.0,21.0,15.0,227.0,198.0,131.0,0.0,0.0,16.0,25.0,0.0,33.0,0.0,0.28181209711990113,0.08096415296909766,,,0.34672435074351043,0.38371312121569845,0.7304374719592089,0.1019010240957973,,,0.34409056119482656,2.8815668725097723,19.656060040761833,2.00576559201893,1.8454882571075402,4.32854621994628,0.12989031850637775,0.5864827727671017,1.975378575613918,2.5346477862597094,9.425055354587009,8.87827639589363,0.9497639340011795,0.528882194240779,4.746801456940994,99.69528260027982,0.528882194240779,101.12144010948693,89.56446063230828,,99.51008205222062,100.52307443755642,98.90455158725922,,0.0,0.0,0.0,0.0,3.467575144907293,41.0,142.1705809641533,1014007.3071693449,1141.0,,0.0
NYG,118019.51158003088,1947.0,27.659118202092984,1947.0,1947.0,1719.0,5260.0,5829.0,1432.0,949.0,215.0,48.0,220.0,826.0,783.0,489.0,0.0,547.0,22.0,58.0,113.0,29.0,0.0,0.27203871827517584,0.08389088991164866,0.09384113869703208,1.2416308993076,0.33637149561760166,0.4565009945570424,0.792872490174644,0.18446227628186654,0.26958327261245496,0.2154743522250815,0.3653101524428399,17.135806897243853,73.37397447242809,9.959122390716194,0.6427958097200756,14.511884516129022,0.015452783125319926,2.0983430457848344,0.6575869399275158,10.084088797715964,27.351903299557335,27.207822204897543,2.760768327606838,0.12496640699976941,3.8857253916882804,105.38183931017288,0.12496640699976941,99.28739350338037,85.28487709644459,112.02445234811522,96.35703638032439,112.33053912986432,139.32234657169596,94.63539257315757,0.0,0.0,0.0,0.0,3.0751039023125752,155.0,476.64110482072397,1007851.025904958,30.0,30.0,0.0
NYY,117602.45783538125,1947.0,30.132974246759805,1947.0,1947.0,1669.0,5231.0,5941.0,1426.0,1012.0,227.0,72.0,115.0,782.0,742.0,600.0,0.0,568.0,26.0,84.0,120.0,24.0,22.0,0.27221292985036194,0.10099309817707457,0.09560679973573472,1.375005086902205,0.34968672876199297,0.4091205354618751,0.7588072642238681,0.13690760561151322,0.2861722238227571,0.21595690938730852,0.3552680624465752,11.301516942160582,67.43252363980203,10.335392817368186,2.5749873758626496,14.484232365523845,0.40031113147364383,1.246935040349322,2.9752985073362934,9.66088908921526,28.367355002424723,31.921937145250453,2.8614349693783776,-0.6745037281529267,4.113700135638961,110.21137767189416,-0.6745037281529267,103.71157423201961,96.8991433098867,111.03529906099712,102.10255245119035,108.42376083180035,119.1914155914275,103.37700128558738,0.0,0.0,0.0,0.0,3.069244343787241,155.0,475.732873253661,1007434.4514391517,9.0,4.0,0.0
PHA,117294.29207837883,1947.0,29.819460726846426,1947.0,1947.0,1713.0,5198.0,5971.0,1311.0,980.0,218.0,52.0,61.0,633.0,581.0,605.0,0.0,563.0,24.0,144.0,117.0,37.0,33.0,0.2523805780820633,0.10132306105509965,0.09428906335287221,1.5579980912711437,0.3323353835620499,0.3503622027921621,0.682697586354212,0.09798162471009884,0.27145225393686157,0.2058281702126947,0.32474600467387177,2.1865730471704854,57.543254570526884,0.7823106262655515,3.5933512424445935,14.284422912412957,0.602685907830986,1.2297336172991065,4.18701014162767,-0.20799076132057892,19.493175910019154,18.89033364955648,1.9645523378329854,-0.9903013875861306,3.6442141031314574,89.96539997051897,-0.9903013875861306,96.13937620366303,97.215730490415,109.50491363068124,97.03625599879707,92.83619434266443,85.28819667062201,97.97702397819684,0.0,0.0,0.0,0.0,3.0075009969485844,156.0,469.1701557528052,1007141.0720147379,10.0,,0.0
PHI,118897.34366576819,1947.0,29.064690026954178,1947.0,1947.0,1454.0,4010.0,4452.0,1023.0,787.0,155.0,35.0,46.0,451.0,435.0,369.0,0.0,417.0,20.0,53.0,95.0,46.0,0.0,0.2547855844955076,0.08288409665633424,0.09366576779335131,1.3629333736219678,0.3204145025945643,0.3461231365772686,0.666537639171833,0.091337552081761,0.27397157843149145,0.18688229887466307,0.31585038829120865,-2.158006161927695,39.9180381947587,-6.41698083338859,-0.23178956834532374,10.857442959595843,0.8327367970785201,1.569929798156264,0.6011554853085291,-5.869898064752357,7.158630178308277,6.230147071466523,0.7229400843200251,0.5470827686362326,3.7952291553754502,78.77382012398385,0.5470827686362326,93.01131908126436,84.26135429043492,111.81510035478466,91.78599341956962,85.18915437432688,69.00175652259696,96.19748548278844,0.0,0.0,0.0,0.0,2.300718779249776,155.0,356.6114106019766,1008709.8867924528,26.0,,0.0
PIT,117196.45646617822,1947.0,28.561424433463962,1947.0,1947.0,1764.0,5183.0,5869.0,1371.0,959.0,214.0,44.0,154.0,735.0,692.0,601.0,0.0,656.0,23.0,62.0,133.0,30.0,0.0,0.26453615654728235,0.10240245313102744,0.11177372591395468,0.9642182346755837,0.3429608102436531,0.413479575470949,0.7564403857146021,0.14894341892366672,0.27780776382416084,0.2404157450042597,0.3529801863228065,13.114245691869135,63.34962244737569,5.732198153153906,-0.84341455103084,12.962904332285314,-0.38317494963965887,1.8743685651986313,-1.2265895006704988,5.894841830321144,19.50552522713459,17.837243624300182,1.9700392180520283,0.16264367716723802,3.5402050636762588,96.41429634920624,0.16264367716723802,96.54914431854465,104.10404084223961,133.43178275835567,98.24461257930665,101.74432079147509,112.49534077714472,97.52254483224142,0.0,0.0,0.0,0.0,2.729263055704549,156.0,425.76503663315725,1007040.9633668427,27.0,,0.0
PS,122255.0,1947.0,28.75601604278075,1947.0,1947.0,507.0,1522.0,1683.0,413.0,328.0,61.0,17.0,7.0,231.0,206.0,155.0,0.0,0.0,6.0,38.0,0.0,18.0,0.0,0.2723012229738562,0.09209744465894236,,,0.3410576347498515,0.349317568966726,0.6903752037165776,0.07701634599286988,,,0.3282190732706606,-0.1266630993809572,17.827007825776,-1.0640296014892368,-1.6036838978015449,4.632825185104859,0.19721334538269242,0.6277100953167781,-1.4064705524188525,-0.8223718217620521,3.031692906240733,2.8992058437902015,0.30760825287687654,0.24165777972718425,4.164644759355147,89.84629853010959,0.24165777972718425,97.7086934595837,101.88037117661659,,97.88373140137524,91.51231491989925,74.75162524522817,,0.0,0.0,0.0,0.0,3.1053997364587045,49.0,152.16458704694,1014921.9833630422,1144.0,,0.0
SLB,117356.22300884956,1947.0,28.292389380530974,1947.0,1947.0,1699.0,4990.0,5650.0,1206.0,881.0,185.0,51.0,89.0,549.0,514.0,572.0,0.0,647.0,15.0,73.0,113.0,65.0,46.0,0.24141121542938054,0.10123893754513275,0.11451327387203541,1.0265265793044247,0.3208871165159292,0.35310580957362836,0.6739929260895574,0.11169459414424779,0.26061937052743367,0.23150442549203537,0.31959665762874967,0.24797982139540486,52.30091284388605,-3.7512659200352325,-2.0012484394506864,13.431912619455726,0.1281982659594675,1.1563417433136332,-1.8578194331555768,-4.510423194198569,8.220011735415216,5.448905877268787,0.8317747434854731,-0.7591572741633363,3.8112339726212396,81.65805667901284,-0.7591572741633363,91.96081503705149,97.13501709321115,132.99279597246948,93.69355754784341,93.56317348120791,97.22466371225686,94.06704105425548,0.0,0.0,0.0,0.0,2.864737386902655,154.0,441.1695575221239,1007204.4046017699,2.0,,0.0
STL,118739.98101376067,1947.0,27.923880856993556,1947.0,1947.0,1861.0,5086.0,5741.0,1366.0,989.0,215.0,62.0,100.0,726.0,655.0,560.0,0.0,480.0,27.0,68.0,128.0,28.0,0.0,0.2691061846470998,0.09754398137937641,0.08360912667618882,1.560428052822679,0.3440309773448877,0.39661297009980834,0.740643947444696,0.1275067854527086,0.28086402684671663,0.19857167603553386,0.3469934960158498,9.57635078548421,65.66749859407491,1.8216308068429334,1.6162689426929107,14.473947044721523,0.601050116849826,2.0928574846770327,2.217319059542737,1.9682706858765366,20.752394274817828,19.788527333200193,2.0935646988901695,0.14663987903360312,3.9747100965569837,93.69514563085484,0.14663987903360312,98.21709137087967,99.1648374716175,99.80981430162966,98.55117283084445,97.59397961539653,96.30448518341029,98.59542538652632,0.0,0.0,0.0,0.0,3.0474041877495215,156.0,475.395053126633,1008556.7634558439,28.0,27.0,0.0
WAS,119642.28805237316,1947.0,29.186397526823058,1947.0,1947.0,1666.0,4911.0,5499.0,1181.0,914.0,179.0,46.0,42.0,475.0,441.0,510.0,0.0,518.0,8.0,70.0,122.0,50.0,50.0,0.24042079608601566,0.0927441348492453,0.09419894475541006,1.2555354015442808,0.31271596125386436,0.3214756367181305,0.634191597971995,0.08105484063211492,0.2616663793418803,0.19458083302236773,0.3033141342153678,-6.776366016980564,41.9532265534722,-6.471618128832516,-3.393162393162393,12.574346754008948,0.19079361255086755,1.082514639463908,-3.2023687806115255,-7.738344522519711,2.7161480903416186,2.8018778640816757,0.27746525006050526,-1.2667263936871944,3.469734160506558,79.39760160663359,-1.2667263936871944,91.5835344294281,88.98456801623786,109.4002521897814,91.3077197675951,85.18206144656594,70.55426167295661,94.44494474166522,0.0,0.0,0.0,0.0,2.6818370758537915,154.0,413.0029096199309,1009439.1811238407,8.0,,0.0
