Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
CLE,116149.82228966447,1942.0,27.15899511043669,1942.0,1942.0,1859.0,5317.0,5931.0,1344.0,1013.0,223.0,58.0,50.0,590.0,539.0,500.0,544.0,24.0,90.0,109.0,69.0,74.0,0.2534876916184454,0.08430281527432136,0.09172146306777947,1.0796463504232001,0.3195337708519643,0.3458418807256786,0.6653756515776429,0.09235418910723316,0.2737522681230821,0.18445456063564322,0.31898536991437926,5.475632636794854,58.153933531496214,2.316136466299689,3.1100994773225428,13.831285930244475,-0.22200496725472987,2.8405250163924416,2.8880945100678126,0.4681987228424087,20.02810417954714,20.456323633350735,2.123891217441016,-1.8479377434572795,4.03352897758565,92.71715990348902,-1.8479377434572795,95.39554353001401,87.49686880837528,120.79739740701804,93.99840742685308,93.07879373928321,87.26208399918639,97.88542269097525,0.0,0.0,0.0,0.0,3.0806896813994267,156.0,480.5875906255269,1006022.1237565335,5.0,,0.0
DET,117606.84068376069,1942.0,28.19794871794872,1942.0,1942.0,1691.0,5254.0,5850.0,1302.0,975.0,215.0,37.0,75.0,584.0,543.0,505.0,466.0,19.0,72.0,133.0,39.0,39.0,0.24833947621042737,0.08632478590376068,0.07965811911350427,1.5800278386629059,0.3155052995323077,0.3469770067032479,0.6624823062355556,0.09863753049282054,0.2596034372323077,0.17880341893504273,0.31758073399203407,4.636469352198348,54.6238280576074,-4.64337705250083,-0.04205128205128205,13.124748509528164,-0.47811616396802104,2.695423741739912,-0.5201674460193031,-5.649399954506778,9.650604850741992,8.028295560570482,1.0344300457499982,-1.006022902005949,3.3478681731130226,80.69633854665781,-1.006022902005949,93.45810505352688,89.59544758445477,104.90994309738406,92.81333741875086,93.38429796714763,93.19898268331704,92.79493226497503,0.0,0.0,0.0,0.0,2.9233201844188037,156.0,456.0379487179487,1007446.0516239316,6.0,,0.0
HG,,1942.0,32.654527061203844,1942.0,1942.0,546.0,1759.0,1977.0,438.0,338.0,57.0,22.0,21.0,271.0,244.0,218.0,0.0,0.0,34.0,0.0,35.0,0.0,0.25003463112999497,0.11026808256297421,,,0.3318158823464846,0.3448214094511887,0.6766372917976733,0.09478677832119373,,,0.3259095612594921,1.6144292543748417,18.42003744402125,1.2363099211304227,0.0,4.4125032158362165,0.05159622652114161,0.27860997878375415,0.05159622652114161,1.7214663960384178,6.464175817179529,7.20785106270348,0.692681168337077,0.48515647490799507,4.76232190894481,100.12286598513388,0.48515647490799507,97.4557432847377,114.6161561708022,,101.13694732012792,98.77472463982538,102.43167303186016,,0.0,0.0,0.0,0.0,2.787612083206879,55.0,153.3186646433991,1015477.4744562468,1137.0,,0.0
JRC,,1942.0,29.56291390728477,1942.0,1942.0,75.0,189.0,201.0,37.0,34.0,3.0,0.0,0.0,15.0,11.0,12.0,0.0,0.0,3.0,0.0,2.0,0.0,0.19633823117412938,0.05970149225373134,,,0.24378109407960194,0.21126360438805966,0.4550446984676616,0.014925373213930346,,,0.224676014772102,-1.5956047882091382,0.4586711005366231,-1.4564347139019314,0.0,0.5393734557544859,0.019877863983016702,-0.060663092434313615,0.019877863983016702,-1.454837146243579,-0.9562489189403897,-0.6136442577423757,-0.10246868852674645,0.0015975676583524663,1.543273565833952,39.936075047879186,0.0015975676583524663,75.48893017570842,83.42580639239206,,77.87573281998043,62.43425484279165,19.064471588111317,,0.0,0.0,0.0,0.0,1.4416379645273631,13.0,18.741293532338307,1015648.5771144278,1123.0,,0.0
KCM,113196.3560209424,1942.0,29.67399545109932,1942.0,1942.0,352.0,1233.0,1319.0,344.0,258.0,52.0,13.0,21.0,188.0,181.0,86.0,0.0,0.0,16.0,0.0,16.0,0.0,0.27898852341167546,0.06520090927824108,,,0.3260045485375284,0.39462844208415465,0.7206329906216832,0.11563991867247915,,,0.3404748625064818,2.200164146353313,15.362030941898906,3.0918350217175794,0.0,3.4557975472457327,0.02599080509087459,-0.38867201158350406,0.02599080509087459,3.294588846366154,6.387705187119258,7.562328340931741,0.6844868111797662,0.20275382464857514,4.465378345448808,120.08341260558264,0.20275382464857514,107.2666542715753,91.11059420318753,,104.14196890804419,116.62365030958678,147.70913345907778,,0.0,0.0,0.0,0.0,3.430759233805914,35.0,120.07657316148597,1014218.8923426839,1124.0,,0.0
MRS,,1942.0,30.735,1942.0,1942.0,219.0,756.0,807.0,210.0,167.0,27.0,11.0,5.0,123.0,95.0,51.0,0.0,0.0,17.0,0.0,24.0,0.0,0.2765680856827757,0.06319702558612143,,,0.3234200736567534,0.3606536006319703,0.6840736742887236,0.08408551494919456,,,0.3261489433131401,0.4865429534533206,9.437397414562575,1.0929323324505722,0.0,2.350148453327563,-0.013824159865725735,-0.2643201502364318,-0.013824159865725735,1.5685381333536639,3.6405422765790685,3.7167363128075395,0.39010929604040445,0.47560580090309185,5.293164295394599,110.03337502904395,0.47560580090309185,106.33603442428986,88.31040267328154,,103.3163598670516,106.58314231194414,107.40407544546042,,0.0,0.0,0.0,0.0,3.4024679867905823,24.0,81.65923172242874,1015449.3382899628,1125.0,,0.0
NBY,,1942.0,30.475348837209303,1942.0,1942.0,318.0,999.0,1085.0,240.0,198.0,29.0,5.0,8.0,110.0,105.0,86.0,0.0,0.0,9.0,0.0,21.0,0.0,0.24014949808110594,0.0792626722313364,,,0.3004608291880184,0.30336226426175117,0.6038230934497696,0.06321276618064514,,,0.2925173392493604,-1.2305886496276053,9.50020086640084,-1.4720270391936927,0.0,2.817490608706933,-0.021245905935489636,0.17789924682615849,-0.021245905935489636,-1.1205385019617775,1.8536054476358248,1.2354785471855623,0.19862664992682302,0.35148853723191514,3.6580525567360063,78.69428373594947,0.35148853723191514,93.6028250533942,82.38814539822651,,91.57997754194153,86.89867652434745,68.31110321013523,,0.0,0.0,0.0,0.0,2.7970770239447003,35.0,97.89769585253457,1015945.8783410138,1138.0,,0.0
NE,113919.07547169812,1942.0,26.865766481334393,1942.0,1942.0,364.0,1183.0,1297.0,289.0,228.0,36.0,13.0,12.0,184.0,157.0,114.0,0.0,0.0,18.0,0.0,12.0,0.0,0.2446338618026214,0.08789514223130301,,,0.3107170389622205,0.32725435711950657,0.637971396081727,0.0826204953168851,,,0.30757811681619496,0.16398812859705655,12.937917430214792,-0.12342007323254227,0.0,3.3539401541550915,0.8241990870934729,0.21177122134154513,0.8241990870934729,-0.008061434036771228,4.381849028553338,3.9339867661921244,0.4695454440624036,0.11535863919577108,3.90474183228752,88.37627830923411,0.11535863919577108,95.35069092967034,91.3610095911889,,94.70605378730498,93.7426103069103,89.28413552945122,,0.0,0.0,0.0,0.0,2.285046940979183,51.0,116.53739398612181,1014797.1272166538,1140.0,,0.0
NYC,,1942.0,32.09353507565337,1942.0,1942.0,247.0,749.0,806.0,162.0,132.0,22.0,7.0,1.0,73.0,70.0,57.0,0.0,0.0,16.0,0.0,5.0,0.0,0.21683624342059557,0.07071960251488833,,,0.27171215834987594,0.268808857,0.540521015349876,0.05197261357940446,,,0.2624639882047478,-2.119659518268571,5.081024017023028,-2.2816719623612483,0.0,1.890621207941037,0.038432223518972956,0.1193757622072903,0.038432223518972956,-2.244687677256677,-0.19625848358937642,-0.7858542294445878,-0.021030454547269442,0.03698428510457148,3.1349895449746725,59.389227023949736,0.03698428510457148,84.51604155041144,73.50820670663586,,82.81742890346246,77.0007896933665,56.16439185998201,,0.0,0.0,0.0,0.0,2.6276923076923078,25.0,65.6923076923077,1015814.0905707196,1141.0,,0.0
NYG,118388.02424455376,1942.0,29.501756851721716,1942.0,1942.0,1671.0,5043.0,5692.0,1295.0,991.0,161.0,34.0,109.0,669.0,622.0,541.0,487.0,34.0,74.0,134.0,37.0,0.0,0.25721147429690794,0.09504567762403375,0.08555867823664792,1.3402337198673575,0.33240478778250176,0.3688397730463809,0.7012445608288826,0.11162829874947296,0.266612857138967,0.19975404071152492,0.3357050096943579,9.551501468865709,57.6528433444852,6.657134802696351,2.109100491918482,12.62955337986337,0.038411417580716894,0.18373578464478524,2.147511909499199,6.867140736400574,21.82794181040793,25.0130950361729,2.3239203430090702,0.2100059337042225,3.430288652039308,102.71472936969306,0.2100059337042225,100.4880257818189,104.20924123117402,108.366782539888,101.43727130657956,103.70715895434701,111.9723120130343,98.84828331678794,0.0,0.0,0.0,0.0,2.84955645249473,154.0,438.83169360505974,1008206.5038650738,30.0,,0.0
NYY,116500.59047127623,1942.0,28.246302029583763,1942.0,1942.0,1534.0,5137.0,5814.0,1376.0,1001.0,213.0,56.0,106.0,773.0,712.0,568.0,545.0,29.0,80.0,101.0,68.0,32.0,0.2681344030913313,0.09769521805555556,0.09373924966322669,1.3621158765846233,0.34323235948228414,0.3945150732545579,0.737747432736842,0.12638067016322668,0.28319269939869285,0.20966632204334362,0.3508426457323149,18.59722648372201,70.28576937790041,13.51396201076645,6.2745098039215685,13.571413730980785,0.28917022472190457,2.7871551788519358,6.563680028643473,13.321459810775837,36.24370874925203,37.56751015065041,3.8388580223242985,-0.1925021999906127,4.647756532157191,107.95547064483974,-0.1925021999906127,100.90757053598942,101.39668111435289,123.45482742503546,100.96990713273622,106.1785433662566,119.41245721785268,101.22688527856953,0.0,0.0,0.0,0.0,3.0620646983470934,154.0,471.5579635362917,1006363.7464740282,9.0,,0.0
PHA,118692.8099648083,1942.0,28.810705686238194,1942.0,1942.0,1554.0,4897.0,5399.0,1222.0,941.0,202.0,46.0,33.0,522.0,491.0,407.0,455.0,23.0,72.0,118.0,41.0,42.0,0.2493520212728283,0.07538432991516947,0.08427486531765142,1.2344659078560845,0.3097390914917577,0.3299376278790517,0.6396767193708095,0.08058560660622337,0.2685576321148361,0.16577143869049826,0.3073745351871254,0.5025956421746338,48.56143837116581,-5.7679779428558025,-2.4654565660307464,12.618394746444602,-0.7424316601242968,2.5914340954816275,-3.207888226155043,-6.834850963815941,5.167089651955246,2.946802842756518,0.5713344848390066,-1.0668730209601391,3.6969485179573494,79.63614125659028,-1.0668730209601391,93.85654227657933,78.24048109581904,110.99020945268182,91.11707110155236,88.81482349172161,76.15648795236366,96.03117200189135,0.0,0.0,0.0,0.0,2.847038774343397,154.0,438.44397110576034,1008501.2296721615,10.0,,0.0
PHI,117394.15862199508,1942.0,26.597009275033127,1942.0,1942.0,1749.0,4802.0,5283.0,1111.0,878.0,159.0,34.0,40.0,373.0,330.0,378.0,437.0,16.0,87.0,105.0,37.0,0.0,0.23161152163827367,0.07155025512152186,0.08271815205659665,1.2368788980017036,0.28932741220140074,0.30384289371417755,0.5931703059155783,0.07223137207590385,0.24650983362067005,0.16183986285065305,0.2862433129830523,-5.695412329024357,37.4981951257972,-6.798523608541708,-1.4644144999051054,11.340971992634408,0.06670337069032883,0.16498939630149922,-1.3938304169303413,-6.502411183310473,3.6097197886950925,1.5292932247169033,0.397259376078819,0.2961124252312354,2.963690497007737,74.74499717127908,0.2961124252312354,90.4865718816532,78.44857317557074,104.76903314500981,88.29169821436913,85.43190181283015,72.45397288875967,91.3307422647766,0.0,0.0,0.0,0.0,2.6096563631137606,151.0,394.0581109218247,1007241.2171114897,26.0,,0.0
PIT,116330.40893291624,1942.0,27.73375043448036,1942.0,1942.0,1789.0,5107.0,5754.0,1250.0,974.0,173.0,49.0,54.0,585.0,544.0,535.0,539.0,26.0,86.0,105.0,41.0,0.0,0.2454013692507821,0.09297879690806396,0.09367396533767813,1.186792634460723,0.31920857699426486,0.330368524541015,0.6495771015352798,0.08496715529023288,0.2654984304449079,0.1960375395637817,0.31379466840739223,2.7342514102894566,47.7657338799438,0.28427540041107224,-1.1425095585679528,11.823526942252409,0.06082044124860947,0.17200964552453607,-1.0816891173193433,0.5056516370931561,11.419499107550758,11.855458042091797,1.2318551968227347,0.22137623668208375,3.651967590537847,89.40004512371775,0.22137623668208375,95.87402423462838,101.94308798243235,118.64543072205929,97.41029076013493,92.89014794990614,85.22900491720354,98.3659287198244,0.0,0.0,0.0,0.0,2.720696456988182,151.0,410.82516510253737,1006196.9353493222,27.0,,0.0
PS,,1942.0,31.953168044077135,1942.0,1942.0,423.0,1330.0,1455.0,321.0,259.0,45.0,8.0,9.0,203.0,176.0,125.0,0.0,0.0,18.0,0.0,3.0,0.0,0.24279796526185565,0.08591065238625428,,,0.3065292090350516,0.30943317224054984,0.6159623812756013,0.06663520697869416,,,0.2977338818340367,-1.155779996612704,14.68571798603655,-1.5122072432316302,0.0,4.159365135929275,-0.5589070428969319,0.26262658078437895,-0.5589070428969319,-1.5626206833492875,2.300463990467435,1.5144870298860709,0.24651063487466113,-0.050413440117657284,3.294923349932452,82.03204815074318,-0.050413440117657284,94.63511540652935,89.29826765614554,,93.4296099602808,88.63769924011777,72.00957617235287,,0.0,0.0,0.0,0.0,2.833784785367698,51.0,144.5230240549828,1015429.2872852234,1144.0,,0.0
SLB,116759.47276227141,1942.0,28.706833493743986,1942.0,1942.0,1497.0,4596.0,5195.0,1210.0,860.0,209.0,58.0,83.0,655.0,580.0,506.0,505.0,11.0,82.0,105.0,34.0,32.0,0.26362163327738214,0.0974013468692974,0.09720885414244465,1.2047435527455246,0.3374275987149182,0.38961564846948993,0.7270432471844082,0.1259940151921078,0.28070131863233877,0.21058710215014434,0.3457462380961261,15.25352945767,71.10432970711376,6.858764009184364,-1.93453985367732,14.66426165162678,0.7003707032360287,3.0115928684032314,-1.2337967654838944,5.804192892400122,22.24625064694624,19.29356499953082,2.3976823731000847,-1.0545711167842415,4.1311769684600295,100.34157393689495,-1.0545711167842415,99.2092706048215,101.09167577678592,128.02430524520005,99.26229962016734,104.85992762181988,119.04712112541723,100.33634425983409,0.0,0.0,0.0,0.0,3.374374241012512,151.0,509.53051010587103,1006620.800962464,2.0,,0.0
STL,117572.54924242424,1942.0,26.319993412384715,1942.0,1942.0,1772.0,5375.0,6072.0,1441.0,1030.0,282.0,69.0,60.0,752.0,676.0,548.0,501.0,22.0,127.0,90.0,71.0,0.0,0.2683931859855072,0.09025032884502639,0.08250988091320817,1.7661018049995059,0.3377114074815547,0.38035729737434126,0.7180687048558957,0.11196411138883398,0.28644241118527664,0.18264163299901187,0.34200277528790063,11.440709722631809,60.58004587460458,8.605060280969179,2.0272187396898715,12.902090560948556,0.3365358410069378,0.18770067804247295,2.360415946408782,9.367149393714417,24.81735657911423,30.29456815694108,2.6448667364922445,0.762089112745239,4.631922648386189,106.91484276758007,0.762089112745239,104.85652503139667,98.95156228994004,104.50524139214419,103.05664937187353,106.94555625725974,112.30915955128127,106.12557578502232,0.0,0.0,0.0,0.0,2.8737268158119234,156.0,448.3013833992095,1007413.8298748353,28.0,,0.0
WAS,117665.97631723885,1942.0,26.34789792546356,1942.0,1942.0,1520.0,4858.0,5447.0,1259.0,976.0,199.0,47.0,37.0,604.0,543.0,521.0,471.0,19.0,49.0,96.0,97.0,26.0,0.2590947509309712,0.09564898061042776,0.08646961581990087,1.4789766211257576,0.3329182329467597,0.3424170655384615,0.6753352984852214,0.08332231460749037,0.2797188809752157,0.18891132860106483,0.3256724768286125,7.504857727292199,55.56721580450351,2.811800767612138,-8.028823205434184,12.619317741027778,-0.4214153178205482,2.5916236504670955,-8.450238523254733,3.4083246434576533,10.169027511697797,8.662031560275512,1.1471433056881848,0.5965238758455158,4.424664775532832,93.2768557483489,0.5965238758455158,97.5056596753318,99.27291610479136,113.88070138076588,97.93576314929005,92.15704977427454,78.72819724336688,99.9851731165733,0.0,0.0,0.0,0.0,2.9038148467321467,151.0,438.47604185790345,1007507.6129979806,8.0,,0.0
