Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SH,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,Pos
CSW,115845.0,1920.0,26.128823529411765,1920.0,1920.0,574.0,2055.0,2261.0,512.0,419.0,66.0,18.0,9.0,285.0,229.0,186.0,0.0,20.0,78.0,66.0,0.0,0.24886474317691287,0.08226448436222909,,,0.31755860188323753,0.31139415777620516,0.6289527596594428,0.06252941459929233,,,0.3057077147432367,-3.3630835933261154,21.766486224171413,-1.824840002443585,0.7452454666076958,6.453545437397477,0.06301631990199014,0.7168373569239825,0.8082617865096858,-0.13795380301836777,7.840690777812778,6.909107343436061,0.8130046966019283,1.6868861994252173,5.173340851952877,88.00320961747245,1.6868861994252173,94.95175613671375,97.68762761816494,,96.01243564544879,91.62346736547063,80.4062118755619,,0.0,0.0,0.0,0.0,3.5673827776293674,61.0,217.61034940291907,1014279.3538257409,1158.0,0.0
DET,117763.4276082926,1920.0,29.12101803472105,1920.0,1920.0,1733.0,5212.0,5933.0,1406.0,1076.0,228.0,72.0,30.0,652.0,561.0,485.0,389.0,20.0,216.0,76.0,68.0,0.26976460831569193,0.08174616513770436,0.06556548077060509,1.5697825356158772,0.3341495037685825,0.35755444240991063,0.6917039461784932,0.08778983409421878,0.28658534531872576,0.15236811182875443,0.33114179347062717,5.642795500890303,57.13413202447017,-2.593901863036992,-3.24608124051913,13.223532368463696,0.0910725067210312,2.3764040293837567,-3.155008733798099,-2.9206749298846835,9.52425273416467,8.551039259835113,1.0045034023987753,-0.3267730668476914,4.489688849496292,85.41884142439565,-0.3267730668476914,92.6223336921405,100.1194810356044,101.77513171429644,93.88254272565948,89.39211921263691,80.73959824107821,93.28971027953429,0.0,0.0,0.0,0.0,2.876715800116299,155.0,445.89094892971514,1007595.4163155233,6.0,0.0
DM,,1920.0,28.7645305514158,1920.0,1920.0,381.0,1298.0,1412.0,308.0,250.0,40.0,15.0,3.0,152.0,118.0,100.0,0.0,14.0,39.0,46.0,0.0,0.23775810806232292,0.07082152912677053,,,0.298866854990085,0.2993376237953258,0.5982044787854108,0.06157951573300283,,,0.2895042397314023,-3.6989316843139366,11.596398752623259,-2.7626663926308765,-1.8243626062322946,3.9280063555267226,-0.09866731590008597,0.43630926925214086,-1.9230299221323808,-1.5651740218228385,0.8761116808236445,-0.20202090669693906,0.09862385173758481,1.197492370808038,5.179435361884749,77.15700309533865,1.197492370808038,90.71413494763952,84.09931963132185,,90.36106882673579,88.07599731777727,79.18474242805975,,0.0,0.0,0.0,0.0,3.153581547478754,42.0,132.45042492917847,1015652.8052407932,1162.0,0.0
DS,,1920.0,30.864372469635626,1920.0,1920.0,453.0,1403.0,1591.0,354.0,256.0,59.0,17.0,22.0,224.0,187.0,178.0,0.0,10.0,57.0,42.0,0.0,0.2528931705820239,0.11187932076178503,,,0.3406662473230673,0.3661809469528599,0.7068471942759271,0.11328777637083595,,,0.33967413009149633,4.99383870702013,24.919705764865153,6.21355068446773,3.27027027027027,5.117178263346413,-0.3999804737623535,0.5683983442573185,2.8702897965079166,7.728635011051657,16.284501415163305,10.668449513456217,1.6815228966621958,1.5150843265839273,4.607572563484363,111.36370426671873,1.5150843265839273,96.4887607429172,132.85472472697498,,102.99892981550835,107.74372994853994,145.67609513311834,,0.0,0.0,0.0,0.0,2.696073617221873,64.0,172.54871150219986,1015783.3161533626,1161.0,0.0
KCM,,1920.0,27.552895752895754,1920.0,1920.0,709.0,2510.0,2721.0,699.0,538.0,104.0,38.0,19.0,371.0,303.0,198.0,0.0,13.0,121.0,95.0,0.0,0.27771476811282614,0.07276736452884969,,,0.33443586860308716,0.37166835014185956,0.7061042187449467,0.09395358202903345,,,0.33648134169443616,3.2485577706531,31.815408374095878,4.997205884073948,0.21389195148842338,7.336276335470606,-0.10062736473246472,0.8148880315474271,0.11326458675595864,7.469182465572455,15.733611419346447,13.115032511398972,1.6366514171787083,2.471976581498507,5.616234418406233,109.16550738709937,2.471976581498507,105.95918329286016,86.40996493151684,,101.11520242676384,109.35832320423563,120.81436667056118,,0.0,0.0,0.0,0.0,3.171482014954061,78.0,247.37559720690922,1015700.0352811466,1163.0,0.0
NYG,117376.87402049427,1920.0,26.447860156720918,1920.0,1920.0,1427.0,4478.0,4977.0,1216.0,934.0,171.0,65.0,46.0,568.0,521.0,380.0,472.0,19.0,100.0,113.0,103.0,0.2726099804524814,0.07635121523990356,0.09483624624994975,1.041395089464336,0.3308542574213382,0.37142188819570027,0.7022761456170384,0.09881190774321881,0.29573296627807916,0.18042997841872613,0.3335277885984646,8.257416346520593,60.64469470488075,9.383034775362757,4.33072131806309,13.453619925951203,-1.4838682860383037,1.650928350828097,2.8468530320247867,8.164759150728228,26.116160459532317,22.331035515040462,2.7004582729298177,-1.2182756246345277,5.095019376714709,102.73402983308655,-1.2182756246345277,98.58666542378947,115.67791429705382,144.14434725941928,100.21877606709943,101.10285195538755,108.76112439614006,100.8960641142758,0.0,0.0,0.0,0.0,2.9267702394575044,155.0,453.64938718103275,1007222.9863371509,30.0,0.0
NYY,119485.26745762712,1920.0,27.7764406779661,1920.0,1920.0,1605.0,5173.0,5900.0,1447.0,993.0,268.0,71.0,115.0,837.0,745.0,532.0,621.0,23.0,172.0,64.0,81.0,0.2811896276854237,0.0901694910142373,0.10525423671661019,1.0648675956711864,0.3488781955557627,0.43253806785084753,0.7814162634066102,0.15134844016542373,0.30124448723898306,0.2149152548186441,0.36480476488577407,19.57832747315499,75.93502578263612,10.358778085130727,3.752669944058315,14.473009919521036,0.26821978364076654,2.6009479261445416,4.020253681945851,9.279864001589342,30.374075529200773,28.749889995151904,3.145973712628559,-1.0789140835413866,4.7854959536618225,103.66831315883309,-1.0789140835413866,96.54505714763582,110.43603856379693,163.38267758303934,98.0207114806868,108.13876137217548,139.1939326398031,98.04504894678459,0.0,0.0,0.0,0.0,3.1689786489406786,154.0,488.0227118644068,1009281.1801694916,9.0,0.0
PHA,118278.18914185639,1920.0,24.317960692741778,1920.0,1920.0,1506.0,4658.0,5139.0,1177.0,893.0,200.0,42.0,42.0,503.0,424.0,295.0,530.0,42.0,144.0,37.0,56.0,0.2528788762130765,0.05740416366316404,0.10313290462599728,0.6670714349235259,0.3030282211782448,0.3411582344150614,0.6441864555933061,0.08827935820198482,0.277426549266978,0.1687098647324382,0.307113854512764,-3.1620398032722123,44.13799422552344,-12.931267391903022,-4.660762942779291,12.147160536856239,0.40261504589267383,2.1829690010968097,-4.257240957220772,-13.425649251481815,-3.352760670749538,-9.078187496381872,-0.32994565994183045,-0.49438185957879316,3.888999017093425,68.18088980569341,-0.49438185957879316,86.82470173734283,70.30635706956272,160.08980379649213,85.13871665525427,85.29290632121813,81.18980959183591,90.29310329068323,0.0,0.0,0.0,0.0,2.625616826075112,156.0,409.59622494648767,1008107.1453590193,10.0,0.0
PHI,120980.59248866825,1920.0,28.667817828620763,1920.0,1920.0,1392.0,4254.0,4633.0,1121.0,843.0,178.0,43.0,57.0,462.0,406.0,233.0,441.0,30.0,116.0,86.0,64.0,0.2636747037301964,0.05029138723872221,0.09518670352946254,0.8277914755167278,0.3062503389151738,0.36611776870623786,0.6723681076214116,0.10244306497604144,0.2817738815091733,0.15778113502913876,0.31796039684931515,2.8554163215082955,50.33370951946749,-1.6718885689215892,-1.0910856896179582,12.192939420306471,-1.707046022873067,1.4962269991056134,-2.7981317124910254,-2.006996827598928,8.884037879322129,3.92354077963061,0.9290828941221969,-0.33510825867733895,4.52601632771963,80.88086114707943,-0.33510825867733895,95.35531220910981,76.19528732583146,144.67701739130683,92.76602445870067,99.65904472555017,112.75789717910524,96.037025274935,0.0,0.0,0.0,0.0,2.6871886680746813,153.0,411.13986617742285,1010744.1435355061,26.0,0.0
PIT,116319.95372129166,1920.0,27.42531514418926,1920.0,1920.0,1614.0,5215.0,5791.0,1342.0,1074.0,162.0,90.0,16.0,529.0,449.0,373.0,403.0,29.0,174.0,180.0,117.0,0.2577102680910033,0.06441029143291313,0.06959074368571921,1.369722167886548,0.3104269684393024,0.33244012868934547,0.642867097128648,0.07472986059834225,0.2760228627454671,0.13676394553790366,0.3074497034583826,-4.978598201467572,45.2444863578939,-5.3897722125814775,2.624112246665512,12.897831541247264,-0.5481572324756493,1.582726126711541,2.0677985609969807,-5.474818354694505,11.073537874261278,12.481108085902754,1.14184427540827,-0.08504614211302723,5.3335415656195515,82.83132907339626,-0.08504614211302723,93.19833387755031,97.58650401062296,105.7729794306453,94.03116368422023,90.49182663462099,82.25429353882996,94.07690487126763,0.0,0.0,0.0,0.0,2.805861152812986,155.0,434.90847867380415,1006185.214125367,27.0,0.0
SLB,118827.14449236894,1920.0,28.550265428002653,1920.0,1920.0,1607.0,5358.0,6028.0,1650.0,1238.0,278.0,84.0,50.0,797.0,707.0,425.0,338.0,38.0,207.0,121.0,78.0,0.3073126168004313,0.07050431251410087,0.05607166503284672,1.6265783962647644,0.3628432526594227,0.41771171852123423,0.780554971180657,0.11039910172080292,0.3206864104188786,0.13487060347213006,0.36923726851487143,21.134553483533306,82.41586349496892,8.830749632636032,0.6477517836402854,15.73770349011982,-0.0651973500129703,2.828226297260735,0.582446976463473,9.131480234168968,28.279856998013,27.434560048106594,2.9406713929419515,0.30073060153293846,5.1332141624388,102.92762541914318,0.30073060153293846,105.53176218491438,86.35090303983007,87.03819490204003,101.94432966779809,104.44935591672423,101.55000464894044,104.42471734515577,0.0,0.0,0.0,0.0,3.445893190608825,154.0,530.6675514266755,1008643.2395487723,2.0,0.0
SLG,,1920.0,28.669303015323777,1920.0,1920.0,621.0,2021.0,2230.0,501.0,412.0,64.0,16.0,9.0,236.0,206.0,164.0,0.0,45.0,80.0,72.0,0.0,0.24849129969237665,0.07354260042107623,,,0.3183856497753364,0.3098828719461883,0.6282685217215247,0.06139157225381165,,,0.3055981037060776,-1.8720260719085677,18.847200426171373,-0.603750586089337,-1.747085201793722,5.320921551947369,0.14666873261566388,0.5910294393520185,-1.600416469178058,0.8796560260816155,5.191190548202945,5.144703867667854,0.5474137274685948,1.4834066121709522,4.404760159681011,88.10177205229199,1.4834066121709522,94.80927265664396,87.33054391214476,,96.26248990959068,91.17879220227776,78.94306699729941,,0.0,0.0,0.0,0.0,2.6778930448968605,67.0,179.4188340807175,1015335.8955156951,1168.0,0.0
STL,117786.28811326968,1920.0,26.38854132367468,1920.0,1920.0,1733.0,5488.0,6074.0,1587.0,1221.0,238.0,96.0,32.0,675.0,600.0,368.0,484.0,26.0,192.0,126.0,114.0,0.289315357411755,0.060586104231643075,0.07968389811623314,1.0745017088621995,0.33640306451251234,0.38525235858972673,0.721655423102239,0.09593700117797169,0.3119259344379322,0.14553836092360883,0.34120322006832443,9.044477309636115,62.79815009668177,10.415271712676883,-0.8849193282844913,13.804524799968936,0.571080041926932,1.6939887916721381,-0.31383928635755937,9.223514981992174,24.408189287275686,26.477542054062052,2.5439656260227186,-1.191756730684707,5.058638354817788,108.07232315495028,-1.191756730684707,104.62799746280211,91.79256873487883,121.11385609651938,101.89956040895464,104.86757354331904,105.59674797925439,106.38381151795356,0.0,0.0,0.0,0.0,3.003107906364834,155.0,465.48172538689494,1007626.6228185709,28.0,0.0
WAS,118310.15326412107,1920.0,27.305120534928736,1920.0,1920.0,1563.0,5023.0,5683.0,1460.0,1126.0,224.0,74.0,36.0,695.0,586.0,413.0,505.0,54.0,193.0,158.0,104.0,0.2903941925470703,0.0726728835090621,0.08886151622488123,1.155863627639451,0.3507371406647897,0.3861118147073729,0.7368489553721626,0.09571762216030265,0.3167979510285061,0.16786908395389757,0.3506402224238012,10.279027434192718,62.98759920486771,3.310338925581987,-2.536349234289738,13.536131550709172,-0.5111931893773299,2.4325812999927687,-3.0466498143993253,3.153986546515615,16.076049582818232,17.744986031676987,1.6835037110292772,-0.15635237906637175,5.211671850871958,98.54766776965113,-0.15635237906637175,99.70539861507058,89.006883320234,137.93679862977555,98.54300013188808,96.5317425147795,88.03072061304974,103.12532975279636,0.0,0.0,0.0,0.0,2.9832133219866277,153.0,456.4316382192504,1008133.8090797114,8.0,0.0
