Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,TTO%,wOBA,wRAA,wRC,Batting,Fielding,Replacement,Positional,wLeague,Defense,Offense,RAR,WAR,WAROld,BaseRunning,Spd,wRC+,wBsR,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TPA,playerid,teamid,playerTeamId,Pos
LAD,116737.91115207374,1968.0,27.284608294930877,1968.0,1968.0,1833.0,4893.0,5425.0,1125.0,850.0,186.0,33.0,56.0,435.0,375.0,398.0,57.0,908.0,16.0,39.0,79.0,74.0,54.0,38.0,0.23019660776940093,0.07336405489216591,0.16737327152534562,0.5010103391694009,0.28746521146230414,0.31626785441843325,0.6037330658807374,0.08607124664903226,0.2702689942746544,0.25105990863963135,0.27451516330755243,-1.956728497891105,35.02226989080225,-1.881756441198184,-1.7996313364055299,10.31552921004868,0.6299627374655091,2.4497945772149183,-1.1696685989400208,-1.8143039106327634,9.781351277690815,15.281127673285491,1.2445157957965884,0.06745253056542055,3.177406316962064,88.44760441003345,0.06745253056542055,91.34657320729771,99.8890791412897,118.96821040111118,92.65525676985253,89.02867109337815,83.37075016121088,96.06467673652388,0.0,0.0,0.0,0.0,2.482502133478341,162.0,402.16534562211984,1006596.1015668203,22.0,22.0,0.0
MIN,118337.06394375628,1968.0,28.070472045530632,1968.0,1968.0,2142.0,5373.0,5974.0,1274.0,921.0,207.0,41.0,105.0,562.0,522.0,445.0,61.0,966.0,49.0,38.0,69.0,106.0,98.0,54.0,0.23656488914730497,0.07448945382624707,0.16170070273418144,0.5453439317850686,0.2985502062962839,0.3500170933133579,0.6485672996096418,0.11345220416605288,0.2658316132274857,0.2537663196936726,0.2950190425039638,6.386822558600633,41.92239514040447,2.5980365297767065,0.03213927017073987,9.912876306446522,-0.11016243846371775,-0.3529204050348532,-0.07802316829297788,2.9266480215137953,12.408580754632487,15.763808599171815,1.525535538532864,0.3286114917370889,3.9431781954410963,92.5853157814895,0.3286114917370889,99.45148691391114,87.70735502098674,111.34162227824135,97.19577327377563,99.38665815601456,99.25175194311645,101.20373930667165,0.0,0.0,0.0,0.0,2.3856009797773683,162.0,386.4673585537328,1008159.9390693003,8.0,,0.0
NYM,116807.84768541563,1968.0,25.94192799070848,1968.0,1968.0,1993.0,5503.0,6027.0,1252.0,963.0,178.0,30.0,81.0,473.0,434.0,379.0,50.0,1203.0,43.0,27.0,75.0,104.0,72.0,45.0,0.2281249911830098,0.06288368962087273,0.19960179143437864,0.38112899527111327,0.2809986108373984,0.3158595393935623,0.5968581502309607,0.08773454821055252,0.2744519745276257,0.2759250037232454,0.27259092710827654,0.08719657819680063,32.11699627539276,-2.203596229142783,0.30330180852828936,8.934918433849663,0.05595305663140551,2.1219187383794167,0.3592548651596949,-2.2178584874453757,9.1982335499434,13.393518014206409,1.1244206623465813,-0.014262258302592692,3.3940027257386607,80.2942098672287,-0.014262258302592692,90.53953703803504,85.61950206362442,141.87610544619082,90.57095398315761,88.92848637306106,84.99596795452581,97.6000607594576,0.0,0.0,0.0,0.0,2.1370570674879708,163.0,348.3403019744483,1006665.1141529783,25.0,,0.0
NYY,118148.22282793868,1968.0,27.93441226575809,1968.0,1968.0,1893.0,5205.0,5870.0,1117.0,829.0,152.0,32.0,104.0,522.0,488.0,552.0,52.0,930.0,29.0,30.0,54.0,99.0,90.0,50.0,0.2138679573618398,0.09403747818330493,0.15843270818279387,0.706712342483816,0.2912578334500852,0.31643522485247016,0.6076930583025554,0.10256726749063033,0.23819243317035774,0.2701873937632027,0.28003673088520525,1.3545394851565682,42.02148087681928,0.3187838876599064,-0.014310051107325384,11.344304607701337,-0.07335367339775854,-0.40388243061048495,-0.08766372450508393,0.5599265152665437,11.412684967852314,14.35814085110589,1.4041072098830645,0.24114262760663743,3.8068741806100634,89.68931398494036,0.24114262760663743,89.90973444766679,110.72411006717894,109.09139201457883,94.82167403405329,89.85115333432726,89.7292482353495,90.69705507259312,0.0,0.0,0.0,0.0,2.6967902110357755,164.0,442.27359454855196,1007972.8601362862,9.0,,0.0
OAK,115387.77265072415,1968.0,24.676153587066352,1968.0,1968.0,2027.0,5325.0,5938.0,1280.0,960.0,187.0,40.0,93.0,564.0,508.0,468.0,52.0,1012.0,35.0,33.0,77.0,87.0,147.0,61.0,0.24055059266015494,0.07881441504934322,0.17042775290367126,0.5742593656409565,0.30367610412041096,0.3432035812337488,0.6468796853541597,0.10265298857359378,0.2798801793757158,0.2649040068086898,0.2952567779698052,6.719854642521004,46.418047091515845,5.2803209645789,1.3243470935130581,11.074065865422437,0.5822334719894585,-0.39426133140246233,1.9059114780521058,6.231794980536783,18.817510992608867,23.680434777399928,2.2841365507031206,0.9514740159578835,4.417032213930262,99.2511928656566,0.9514740159578835,101.12707005805264,92.79976595919709,117.350773179533,98.86455658804324,97.45197493958163,89.80423988249403,106.53427935364282,0.0,0.0,0.0,0.0,2.648699136143483,163.0,431.7379589087235,1005273.1328730212,10.0,10.0,0.0
PHI,117729.22862889708,1968.0,29.179517264498827,1968.0,1968.0,1961.0,5372.0,5966.0,1253.0,945.0,178.0,30.0,100.0,543.0,505.0,462.0,60.0,1003.0,22.0,46.0,64.0,106.0,58.0,51.0,0.23352513144854173,0.07743881954911162,0.16811934253402616,0.5034562596925913,0.29376724194133425,0.3349948447410325,0.6287620866823668,0.10146971329249077,0.2686537146275562,0.26231981190244713,0.28596745446908933,1.6468243462663608,41.009326843079556,-1.2727399604896132,-4.9956353869397345,10.980422996276783,0.265082844146198,2.6076975949620627,-4.7230163848179325,-1.5683809886069242,7.296723217813989,12.651102286450556,1.0122424040461686,-0.29564102811731113,3.271546413009039,89.28636602711481,-0.29564102811731113,92.66739732749258,105.43708885664755,119.498514504783,94.68651561065505,94.30027564852764,98.28608792356864,95.49054015251052,0.0,0.0,0.0,0.0,2.642513336557157,162.0,428.08716057660075,1007565.9746899095,26.0,,0.0
PIT,116788.65297841259,1968.0,29.736568738841097,1968.0,1968.0,2019.0,5567.0,6161.0,1404.0,1100.0,180.0,44.0,80.0,583.0,538.0,422.0,93.0,952.0,33.0,43.0,96.0,133.0,130.0,59.0,0.252042641267976,0.06849537354471677,0.15452036949764647,0.615269246236163,0.3059316350931667,0.3438278985190716,0.6497595336122383,0.0917852572510956,0.28647251305356275,0.2360006487875345,0.2930063438950228,5.2279539958943815,48.41058686446243,2.5888670974291244,5.686525974025974,12.046072909825556,-0.07886282787134491,2.8607746137230814,5.606740158656816,3.217164547366529,23.730752229571983,30.371525798824067,2.7881418084269973,0.6282974499374052,4.130499346442352,95.39521798163848,0.6282974499374052,100.01551197926136,93.26010944838087,109.83242223875438,98.60732037586146,96.78675990093838,88.90548294213185,101.87367711450536,0.0,0.0,0.0,0.0,2.881184134487908,163.0,469.6330141210842,1006643.7239084564,27.0,,0.0
SFG,115691.47536704731,1968.0,27.830179445350733,1968.0,1968.0,1971.0,5439.0,6130.0,1301.0,998.0,162.0,33.0,108.0,599.0,566.0,508.0,55.0,903.0,47.0,44.0,92.0,117.0,50.0,37.0,0.239639068982708,0.08287112509608482,0.147308319345677,0.7002213050755303,0.30642760858874385,0.34225604186003256,0.6486836504487765,0.10261697287732463,0.2670986781182708,0.24779771675693313,0.2961883767054718,7.639169310192653,45.38416199100383,5.44711701303221,-0.8448613376835237,10.529208239751334,0.3535575393131565,2.5005403719842434,-0.49130379837036714,5.321762845407603,17.860207658772815,23.6356055041124,2.216266535239871,-0.1253541676246067,3.3457792795692027,97.87458348085826,-0.1253541676246067,95.09352883291004,112.83346300061837,104.70612762741352,98.76718163820334,96.34428587916072,99.39735209065171,94.98430142478921,0.0,0.0,0.0,0.0,2.5183798872822187,163.0,410.4959216965742,1005574.1616639477,30.0,,0.0
STL,116539.16894514769,1968.0,28.835443037974684,1968.0,1968.0,1857.0,5423.0,5925.0,1356.0,1017.0,223.0,46.0,70.0,561.0,526.0,365.0,54.0,859.0,32.0,39.0,66.0,88.0,109.0,44.0,0.24917566908253164,0.06160337508556962,0.14497890263189875,0.4902990736339241,0.29837024555341773,0.3455349813407595,0.6439052268941772,0.09635931225822786,0.2821015465903797,0.21839662385485234,0.2923410655837132,5.351768122495494,50.39871323176101,2.183173255896786,-0.21786860327647356,12.566134788555246,0.10604689312886588,2.9842820697522994,-0.11167462585847589,3.1585942145614267,18.597336447010495,23.911913408185793,2.292509331960801,0.9754209586646421,4.082459044807982,94.06811452952219,0.9754209586646421,98.87784063319475,83.87628544166134,103.0503881225866,96.17014724531663,97.26729977540863,93.33602638224532,100.27045075151516,0.0,0.0,0.0,0.0,3.024125645589873,162.0,489.90835443037975,1006400.2911392405,28.0,,0.0
WAS,116144.14618800888,1968.0,26.565507031828275,1968.0,1968.0,1938.0,4894.0,5404.0,1102.0,813.0,142.0,35.0,112.0,477.0,438.0,406.0,44.0,885.0,33.0,29.0,42.0,103.0,28.0,19.0,0.22516008901017762,0.07512953319522575,0.16376757908567724,0.5434150037292745,0.28686956920003703,0.3374027257662842,0.6242722949663213,0.11224263675610661,0.25319981437842337,0.25962250146373056,0.28570243226348263,3.930705892576418,40.950752799666766,2.168681144479385,-6.026276831976314,10.326979958013853,-0.5374614152475519,-0.36766341442179706,-6.563738247223866,2.1397828835102355,5.535361179878427,5.82613435201976,0.8194718299835901,-0.028898260969148742,2.852699826643963,91.55728385809132,-0.028898260969148742,94.65692785790927,88.46101430526035,112.76480326714766,93.39303413323262,95.80483355600012,98.19358224590411,96.44999120264738,0.0,0.0,0.0,0.0,2.500694218558475,161.0,402.6117690599556,1006015.2955218357,13.0,,0.0
