Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
CLE,118376.11248062017,1928.0,26.41565891472868,1928.0,1928.0,60.0,83.0,4.476919347146137,257.0,145.0,10.817984496124032,0.6484496124031007,14.0,1290.0,5820.0,1511.0,772.0,643.0,49.0,486.0,41.0,3.2099224806201554,0.5328682170542636,391.0,2.7213303538178635,3.382159845585003,0.9239067573658915,10.522810691780595,0.34131171927007425,0.28519128129009785,1.5449967263739555,0.301334677349305,0.6444287527581397,4.137806484593821,0.15796483668604655,20.566163153814717,12.198776450008154,1.1418955221252383,0.15466148530010337,-1.041311779169496,-0.8866503049519866,30.49286821705426,109.28387062463607,101.09373383544887,0.06714395605968992,0.0824675567108527,-0.015323602340310076,4.183004781543221,0.33911286255231593,89.64433435731361,107.83214055020804,95.45872640887366,108.55079377829648,86.22170856559107,107.7327611153881,108.37511480102677,107.55616281421017,97.81046499478215,88.36209885970356,105.04000114441223,0.0,0.0,0.0,0.0,1.1256507170542631,155.0,174.4756003032359,5.0,,1008197.696124031
CSE,,1928.0,28.192079207920795,1928.0,1928.0,9.0,18.0,5.686815237470448,48.0,30.0,3.183829444891392,0.24617860016090107,0.0,248.6,1103.0,267.0,188.0,158.0,23.0,102.0,14.0,1.0297666934835077,,99.0,3.5623098536717666,3.6707670319509798,1.0460533369750604,9.60979753507638,0.8294626570058292,0.26826170630429147,1.4756182852252622,0.280319706725471,0.5814100102695092,4.825464516908859,0.1999826881375704,2.213993829447995,1.2785800360143185,0.2691688854161168,-0.1933639547094547,0.25147098389754635,0.058107020775469115,9.139983909895413,113.59170654203791,109.84994784856436,0.08889224287208367,0.09036585995172969,-0.0014736174979887366,4.016804973325911,0.861350720561589,93.52769024309025,110.71867331564565,91.05383986859627,93.74380410299266,126.78856161640442,96.10413778971599,97.89213671154542,94.23341409802873,97.46333303588031,94.15849266873352,109.96527599860282,0.0,0.0,0.0,0.0,1.604197908286404,30.0,48.12590509983963,1100.0,,1015880.6806114239
CSW,,1928.0,23.91121642969984,1928.0,1928.0,11.0,36.0,5.348210976516275,61.0,47.0,9.10420997920998,0.301975051975052,2.0,384.8,1749.0,453.0,279.0,230.0,22.0,139.0,15.0,0.7281704781704781,,196.0,4.565736817308319,3.232946909990532,1.5339553664838876,10.537530885019875,0.5109404545817169,0.28094034186678873,1.5300530883344898,0.30994443357484,0.5777088916761953,3.9446000992157506,0.20478514612785856,11.457534810756634,3.1582577358931303,0.46425919821427786,-0.49871977448914584,-0.2361380065715796,-0.7348577886695921,14.446205821205822,132.57262552778187,106.08389166537347,0.1137097268633056,0.07875473067307692,0.03495499556912682,3.5796616317161907,1.403610877300524,117.22963585694347,131.67777035469612,96.69975451221406,108.14501284343507,125.87191887337104,105.04972500290478,112.88122831185653,106.6583947020104,93.71504988925948,114.70690102120403,126.02477800711988,0.0,0.0,0.0,0.0,2.1433753716216217,47.00000000000001,100.73874334832983,1157.9999999999998,,1015488.6712577962
CTG,,1928.0,28.189389135489325,1928.0,1928.0,18.0,44.0,5.6605247885421965,108.0,61.0,5.625857002938295,0.28031341821743383,4.0,510.50000000000006,2392.0,658.0,411.0,324.0,32.0,150.0,38.0,1.3539666993143975,,203.0,3.5589991582607383,2.626217384067553,1.6269185695729673,11.504416731984332,0.5600147311135966,0.2960161471743746,1.5700704573390982,0.3160742051843675,0.5546646107717923,4.141812975666338,0.16081381319490698,6.570512040213924,2.4500674917944707,-0.08718987661144761,-0.3841969913370673,-0.38663908263174024,-0.7708360667582181,17.800783545543585,140.31432873109054,110.97244765797399,0.08582695686190009,0.06181249489128306,0.024014460691478935,3.7109480473928773,1.518711812875858,91.38068882035174,106.96570628243651,101.7614524566045,118.06800936691423,137.96153381577568,110.68689761839966,115.83355055576386,108.76777796216922,89.97684175677564,86.57961509847274,98.91350178334991,0.0,0.0,0.0,0.0,1.5337895455435844,62.0,95.09500519792664,1159.0,,1015462.6942213515
DET,118944.22089203594,1928.0,27.314475509161255,1928.0,1928.0,68.0,86.0,4.315355128346761,284.0,154.0,8.233009708737864,0.6478575078472882,16.0,1369.8999999999999,6167.0,1481.0,803.0,658.0,58.0,567.0,36.0,1.9552522081903791,0.0876706328929119,451.0,2.958761457338408,3.719168148287683,0.7990395779553253,9.713583778523716,0.3803908572085154,0.26565610022376507,1.4925279918679333,0.28113360099948564,0.6419462904343385,4.237361343116799,0.1743195305664647,14.809467453341238,11.727443899028003,1.108008153311279,-0.3882495994692616,0.052113509177508975,-0.33613606643782057,30.586904153587856,104.46500699792887,102.66400444969888,0.07304574798014454,0.09195986897437772,-0.018914120556244984,4.226091002864426,0.07799378522996156,97.46563881634813,118.57685053517825,82.55735752580199,100.20300283595739,96.09382795700463,100.35322627952367,104.69465061072374,100.34574058197296,97.43368061690205,96.12891665197286,117.13048247629001,0.0,0.0,0.0,0.0,1.0154229148113,154.0,156.37507831797097,6.0,,1008754.4006861816
DS,,1928.0,28.54317637669593,1928.0,1928.0,46.0,34.0,4.548199766768831,123.0,80.0,9.125309992706054,0.6831509846827133,5.0,685.5,3066.0,769.0,444.0,347.0,34.0,239.0,33.0,3.279795769511306,,236.0,3.0923910923529503,3.1322168993986517,1.0085204032603938,10.079658132327202,0.44571786031507094,0.27459076541227057,1.467986114636206,0.2906035941092664,0.6025578780641866,4.171772759460356,0.1655347189613421,6.283854329716455,3.3872986137866974,0.3463238256431187,-0.22227610675067816,-0.06206799723387286,-0.2843440896181361,21.383078045222465,112.74177237079573,111.71509734312251,0.07681069741502553,0.07764892527644054,-0.0008382300364697294,4.009180310208055,0.3764270073084746,79.40008287589202,127.57504192400174,63.57660551410882,103.44593720029732,109.80411093093095,102.67547979483022,108.30217397571685,100.00280529266144,97.74601372136479,77.48428594486558,124.25524648902245,0.0,0.0,0.0,0.0,1.5184218949671773,80.0,121.47382316338938,1161.0,,1015886.0577680523
KCM,,1928.0,28.642702869484726,1928.0,1928.0,46.0,29.0,3.079898965588917,106.0,75.0,8.510953409441528,0.6328293736501079,3.0,648.2,2678.0,608.0,289.0,222.0,20.0,129.0,37.0,2.4844183893859917,,297.0,4.12101022038642,1.7899127589584145,2.4941072144399876,8.435562003198893,0.27737523908402645,0.2412049512700934,1.136163862461923,0.2674428663431274,0.6513859798935513,3.27964246902586,0.16513391757019438,17.42309367866363,9.9243665933609,2.629215082703678,0.16715717598202787,0.6332147215211126,0.8003718920726763,19.517432891082997,76.34521039302528,89.60077622993336,0.1100210420364085,0.04777026754551064,0.06225077609534094,3.2521122622436978,-0.19974350343694267,105.81085744303842,72.90305958960423,157.2272312781087,86.5728386594253,68.33233359853787,90.19179528256188,83.8216486317157,92.03271202408794,105.66683351270756,110.98586901088474,76.44286376183348,0.0,0.0,0.0,0.0,1.5721736562789261,75.99999999999999,119.48533028682343,1163.0,,1015148.9239432273
MRS,,1928.0,28.639676113360323,1928.0,1928.0,31.0,44.0,3.797816671860118,105.0,75.0,9.682620033747508,1.0983279644117196,1.0,651.9,2869.0,724.0,376.0,276.0,29.0,158.0,27.0,0.25510047553305726,,250.0,3.4398741367551926,2.174321378956159,1.690560749934039,9.963226431294913,0.398994977771755,0.2688053099663432,1.34861642336123,0.2881172656326819,0.6168091965638902,3.6875810580736066,0.15218799973462188,14.86195929614308,6.947587583214045,1.8790344472835676,0.015408177543068663,0.315970785432404,0.33137897027061836,18.811167356956588,94.14111179840553,99.71284735832148,0.08770795123178401,0.05449956585826046,0.03320838264150944,3.600620988356404,0.11023561378651123,88.32204057772735,88.56000397987782,106.57207676461957,102.2510170675915,98.29376989552226,100.51217174311792,99.49555316166789,99.14720740062714,100.05784079939839,88.47710183114344,87.21121566054859,0.0,0.0,0.0,0.0,1.619025266145114,76.99999999999999,124.66489117934415,1166.0,,1015379.4695505445
NLG,,1928.0,31.968532747896084,1928.0,1928.0,19.0,16.0,5.448548540426389,46.0,36.0,7.445375443119561,0.11923944569771189,2.0,310.3,1396.0,395.0,212.0,188.0,18.0,76.0,8.0,0.0,,101.0,2.925374569785031,2.200448948678563,1.3114324846922332,11.44032976376866,0.5217768838185465,0.29972176249425614,1.5156420791608023,0.314956842571192,0.5967521966258459,3.941363837791962,0.1397212977151144,12.607914683590618,4.5914838425815105,0.7061297708208085,0.07225140080196875,-0.5647707542142213,-0.4925193645052859,11.696100547856911,108.83243098987343,92.19041422521883,0.0724427085014502,0.05430145367386399,0.018141254827586203,3.7814265334616914,1.507184702634427,76.80508935118525,66.37053950193352,110.76154500072789,111.60068964344117,79.75686430881521,107.37463038668419,100.54730488537602,105.87717472922849,100.03518557979214,76.7344336696308,66.0788729546698,0.0,0.0,0.0,0.0,2.2550754656783756,36.0,81.18271517592248,1102.9999999999998,,1016197.200773445
NYG,114131.01520681266,1928.0,28.24452554744526,1928.0,1928.0,78.0,54.0,3.591062497784192,233.0,127.0,13.072123740006953,0.8735662148070908,12.0,1150.8,4881.0,1208.0,537.0,461.0,62.0,326.0,18.0,3.8329857490441435,0.0,345.0,2.693206792051831,2.542088092243102,1.1364346361591935,9.420586485749457,0.48419835457296684,0.2651395916401599,1.329186064221395,0.27627211679426494,0.7006740710740355,4.02166685908935,0.14937552779718458,25.961152293997422,12.896494042128325,3.8555801366706732,0.5304872791337785,0.8329492154769756,1.3634364838852087,32.04692387904067,91.72123643280813,96.18840784572127,0.07074092968282934,0.06589905534845326,0.004841874890510948,3.9410190947607666,-0.43060436130515856,97.3414941571651,81.218174350515,128.56126767960126,97.1686211630214,97.25713441256505,97.6902856333783,93.27591383510196,97.49569539431698,103.69178366591031,99.80105002062483,82.18222282182717,0.0,0.0,0.0,0.0,1.2379280109489053,155.0,191.8789906212552,30.0,,1004041.3839068476
NYY,118437.79834399698,1928.0,28.572600677455775,1928.0,1928.0,98.0,50.0,3.7296614930388325,259.0,148.0,13.792547986450886,2.4642830259691384,20.0,1328.5,5956.0,1412.0,659.0,551.0,58.0,437.0,18.0,2.780730146782085,0.14979299962363568,480.0,3.2488561429272864,2.957687998861126,1.1510144548136996,9.557219019554651,0.39247797596358325,0.2563139167207793,1.3905452242684198,0.27223079272434386,0.681377933733534,3.898479002800589,0.1615813997568686,22.952743671826052,12.07322668749839,3.331280538016887,0.4083775710938431,0.6476003535089073,1.055977940806151,33.082499059089194,96.80783679429894,101.28303609822525,0.07974370642002258,0.07222576538953708,0.007517941272111403,3.908906270833111,-0.16881750976175647,107.02175351360465,94.29886302186034,119.10296535699435,98.58998144821143,99.14725967896811,96.82415898451228,97.5409822840191,97.16803828508509,103.41855872714369,104.94349449430074,91.99489823855875,0.0,0.0,0.0,0.0,1.3262946473466315,153.99999999999997,204.24928258566382,8.999999999999998,,1008259.3981181782
PHA,118505.58729111697,1928.0,31.882512459689238,1928.0,1928.0,98.0,55.0,3.3624912943575596,256.0,153.0,12.32285253591322,2.3513632365875106,16.0,1364.4,5859.0,1349.0,615.0,511.0,66.0,424.0,22.0,2.2722075637642916,0.0,607.0,3.995985754952989,2.790140978582498,1.5618722126150688,8.876955795689407,0.434307052630716,0.24884074118081623,1.2963440860302116,0.2703604438545525,0.6948474083150102,3.7446787729798854,0.18605280827689827,29.411173068013174,19.008680682629347,3.8733571000315017,0.4412453016566565,0.46658407694520054,0.9078293742096787,32.15486660803283,82.06636571683148,91.48195818573495,0.10346854672603341,0.07127596696643212,0.03219257975960129,3.6128106343239503,-0.3821874786223254,131.6332221854323,88.95702388228278,161.4921484659932,91.57254902529098,109.71406490228209,94.00112094639901,90.93316299438642,96.50044984379373,105.46293571961968,136.1656134287528,90.7851286577336,0.0,0.0,0.0,0.0,1.2257480386983288,153.0,187.53921229956052,10.0,,1008324.5902228084
PHI,118675.49131532066,1928.0,28.088182897862232,1928.0,1928.0,43.0,109.0,5.479561800348798,338.0,152.0,4.437871140142518,0.3709916864608076,11.0,1347.1999999999998,6169.0,1647.0,942.0,822.0,108.0,673.0,41.0,1.9671912114014254,0.15380047505938244,404.0,2.693267129008435,4.465915351463033,0.6433524861483078,10.965731415676178,0.7199654924513654,0.3012703177081677,1.7146274185710235,0.31079393252982107,0.642855608349911,5.048190250002515,0.19119030436312356,7.242675816691137,6.821823749691248,-0.35240465373734364,-0.19192921776864283,-0.8459206295279953,-1.03784985761125,32.53496140142518,127.51668023887188,111.52747260491368,0.06572973052033848,0.10791856182823636,-0.04218883060198931,4.50538754009055,0.4313715503462837,97.3436749364228,142.68328967691787,72.88864609472385,113.10601556677,144.61383441400983,111.002597566465,120.32434258752117,109.67835237203478,95.13530999918488,92.7312692316852,134.58443640631936,0.0,0.0,0.0,0.0,0.8766157430225653,152.00000000000003,133.24559993656118,26.000000000000007,,1008488.5595308789
PIT,115167.37831080552,1928.0,32.06703648722556,1928.0,1928.0,80.0,60.0,3.8732306311072895,243.0,142.0,14.785530119540589,1.6370028908508474,10.0,1279.9,5527.0,1332.0,656.0,553.0,64.0,413.0,23.0,3.3068989764825374,0.25798890538323305,359.0,2.516356769100548,2.8932434680725185,0.9271191873919838,9.33387819916265,0.4487194953483651,0.26090492847347774,1.3585690741372412,0.27078794560330743,0.665011184722244,4.134174024111224,0.15111326223064303,30.49220253416445,15.819104749709368,3.1710205411563073,-0.8036202722829302,1.0295207212965127,0.22590042737785074,33.929291350886785,94.61198539674636,94.73991939057083,0.06511487456598172,0.0744315475169935,-0.009316674096413782,4.1109216622995435,-0.2609433930039335,90.94954329523684,92.43737585075426,104.86140545688815,96.27426870802373,90.13077359819437,96.13003032878474,95.33787278494381,95.56034596373345,98.41408298917297,91.86383344367277,92.82303233169732,0.0,0.0,0.0,0.0,1.370956813813579,151.99999999999997,208.3853596230486,27.0,,1005062.7435737165
PTG,,1928.0000000000002,30.262068965517237,1928.0000000000002,1928.0000000000002,2.0,6.0,7.156548580688554,14.0,8.0,1.0045523520485584,0.24279210925644915,0.0,65.9,341.0,107.0,77.0,60.0,6.0,31.0,3.0,0.7374810318664642,,34.0,4.524976256002311,3.758214566309503,1.5589276676176025,13.632211583316003,0.6958694286092066,0.33339621916232265,1.932269572180612,0.36609283527823255,0.5430319804855841,4.411534209868987,0.20102890383915023,2.137269320726756,0.5423318250104785,-0.10466498335504022,-0.06968866131510104,-0.24823539987862198,-0.317924057541921,2.590288315629741,142.94900261134717,101.58186668139011,0.10447885996965098,0.08198873462822456,0.022490125341426394,3.7292400529499985,2.7450143708195673,118.80229261710855,113.35628962434234,135.9032748791716,132.9825490591635,106.36800003109784,119.43842684949638,128.1862653894861,123.0672582676488,91.02992047287655,110.66850905636063,99.77123829532313,0.0,0.0,0.0,0.0,1.8499653717754172,8.0,14.79971319210909,1105.0,,1015379.7101669196
SLB,115763.85969230768,1928.0,27.34023076923077,1928.0,1928.0,80.0,67.0,4.111178305744714,256.0,149.0,13.713692307692307,1.0514615384615384,15.0,1300.0,5759.0,1394.0,688.0,595.0,89.0,419.0,13.0,1.1402307692307692,0.03853846153846154,433.0,2.993124184180973,2.8955886421768353,1.0598984632415385,9.632335861107444,0.6150333786675167,0.2611699462416216,1.391991611476031,0.27097093241791903,0.6710289212653845,4.245388696275346,0.1632680178707692,23.20719168400535,12.926948812790215,3.012991459815548,-0.03744646970182658,0.7718412551421384,0.7343948343407649,34.660923076923076,97.68294894817808,100.95727402231097,0.07525260945769231,0.07261922055307692,0.002633388519230769,3.9675209091269306,-0.13421039053063277,98.59759391697831,92.31897240054653,109.50948962212979,99.36486878729882,155.3689068954011,98.65855401219903,97.64244034991383,96.71835309971921,101.84780017797183,99.03316565531561,92.4960472148067,0.0,0.0,0.0,0.0,1.3269920746153845,154.0,204.35657397842405,2.0,,1005643.8190769231
SLS,,1928.0,24.201809107922642,1928.0,1928.0,57.0,22.0,3.810154076428029,133.0,79.0,7.968341851220896,1.205565019875071,6.0,704.4000000000001,3074.0,766.0,381.0,299.0,31.0,194.0,28.0,2.679301533219761,,306.0,3.906231270440255,2.4718088912441414,1.8769302952370808,9.769656900582682,0.39546891834844816,0.266606069262482,1.3601628657585358,0.29028852313299847,0.6562347645414537,3.6730891103697387,0.1721085550936967,16.030024494743106,7.473558323457837,2.6648114024090837,0.7099844113448164,0.2717148194090589,0.9816992761718487,22.406019307211807,94.446934086073,99.35361778331983,0.10098321909000567,0.06145045943781941,0.03953276104344123,3.524728452593116,0.1370649660582908,100.29620359867396,100.67665588201547,118.4889295187154,100.2644435890994,97.42511316322941,99.68982764820913,100.3474037349436,99.89438274685756,106.45339643139918,101.86878997470653,98.33416311363595,0.0,0.0,0.0,0.0,1.6136304301533217,79.0,127.47676096234653,1168.0,,1015937.0197331061
