Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
CLE,116177.66115641216,1940.0,26.651519644180876,1940.0,1940.0,87.0,64.0,3.608682890122443,302.0,151.0,12.914974054855447,2.184136397331357,22.0,1349.0,5724.0,1297.0,624.0,542.0,83.0,510.0,25.0,3.7974054855448487,0.1356560415122313,678.0,4.516207277564294,3.3960701530754585,1.3924809464595997,8.637805042199856,0.552666312857968,0.2491935209758452,1.3370972439194797,0.2732231250688982,0.7090296389473684,3.8605044922447838,0.2220871794507042,28.639836260643246,14.38759365864098,4.091995471814238,0.46886530290457873,0.7955561754966861,1.264421494717981,34.122979985174204,89.75833825936542,97.14454459484787,0.1192703922031134,0.08843460105707933,0.030835792991104526,3.884602406336222,-0.251821602122342,116.2768697301583,91.96850239506853,132.48548572891184,90.08914487506689,76.20633308116733,93.11350423208957,90.61169958502217,96.23703311795288,105.11616543500324,121.7370167927629,94.9413085656707,0.0,0.0,0.0,0.0,1.2741285063009637,155.0,197.48976030381547,5.0,1006050.3396590067
DET,117839.93343044427,1940.0,28.019373634377274,1940.0,1940.0,90.0,64.0,3.984141735423409,326.0,155.0,8.33889293517844,1.2333576110706483,23.0,1373.0,6020.0,1425.0,716.0,609.0,102.0,570.0,17.0,2.2,0.6533867443554261,752.0,4.920589136864946,3.7160925812918935,1.3583097131638748,9.297204506413703,0.6674862659017126,0.2606581768487313,1.4459218986339553,0.28729342496771404,0.6998096353954844,4.024743591944061,0.23602118532774943,28.287211734770597,21.79229075089097,3.269274356784007,0.30321619344152134,0.17170784990510105,0.47492403450536624,28.770138383102697,85.59507307985146,87.43707357387818,0.12529744248288419,0.09385229969337217,0.03144513890750182,3.8772902126948128,-0.04060185652065208,126.68831762997662,100.63498516169967,129.13851554280856,96.96643992535823,92.03868504915181,97.39738079099463,97.98647128937972,101.1929969186027,103.74926743254196,127.88871024779097,100.7576226170215,0.0,0.0,0.0,0.0,0.987649964311726,155.0,153.08572697038645,6.0,1007675.0659140568
HG,,1940.0000000000002,29.395139989434764,1940.0000000000002,1940.0000000000002,38.0,12.0,3.3555459573061412,68.0,50.0,9.920887602508442,1.4351181862035698,0.0,414.59999999999997,0.0,395.0,209.0,157.0,0.0,147.0,5.0,0.3478051133622769,,202.0,4.37140276971902,3.1389076080954994,1.6156658953738543,8.55009588727867,,0.2499438002570042,1.2987781661526854,,,,,39.25779231579133,11.790336698293686,3.9187625692685595,,,,14.706705258080078,69.44211092099656,,,,,3.831776311632924,,98.72779806946585,87.64527697792798,130.6929757383586,86.749431390978,,,86.98819536891136,,,,,0.0,0.0,0.0,0.0,2.004746246985046,51.00000000000001,102.24200732318089,1137.0000000000002,1015545.1910274965
KCM,,1940.0,27.77523120225171,1940.0,1940.0,20.0,10.0,2.944665653449229,50.0,31.0,2.854443104141536,0.5560916767189386,2.0,248.7,0.0,228.0,112.0,82.0,0.0,74.0,7.0,1.1531966224366705,,178.0,6.398099049730843,2.65625875678745,2.983850817241657,8.195582437779404,,0.24211838074333608,1.2057601327296503,,,,,9.174428865427371,5.416745625436306,0.9558296167663557,,,,8.92842782468838,77.95964439467873,,,,,2.974519886483127,,120.22529581548858,87.70935859805422,169.77681206658738,91.70348223548747,,,90.69256731363248,,,,,0.0,0.0,0.0,0.0,1.478541584238038,31.0,45.83486537220108,1124.0,1015783.8154402896
MRS,,1940.0,23.35474006116208,1940.0,1940.0,10.0,19.0,3.469806020283263,43.0,29.0,2.5331654072208227,0.0,0.0,238.2,0.0,231.0,134.0,92.0,0.0,76.0,2.0,0.0,,140.0,5.2799277527943955,2.8666641282863665,2.1893097800587746,8.713342510803685,,0.2519928905748363,1.286667404343339,,,,,4.252450058932668,2.498527342453599,0.43365783236551747,,,,5.763224181360202,91.8626680563694,,,,,3.442081342139433,,99.21398075117614,94.65691976189004,125.11334543863808,97.49689618980939,,,96.77809624912268,,,,,0.0,0.0,0.0,0.0,1.1402525860621326,32.0,36.4881119331725,1125.0,1015386.6263643998
NBY,,1939.9999999999998,33.34208798424162,1939.9999999999998,1939.9999999999998,5.0,18.0,6.663160593120338,37.0,21.0,1.862361382909328,0.0,0.0,153.3,0.0,216.0,139.0,114.0,0.0,62.0,5.0,0.2426614481409002,,68.0,3.9732638279925627,3.6255986260777444,1.1690913881930853,12.62201070982853,,0.3293646104299704,1.8052899262118083,,,,,-5.28792224098325,-1.1804495379328728,-0.3614092864538436,,,,9.499021526418787,137.8922961804219,,,,,4.137709307856097,,89.73586044371213,101.2347719231471,94.56209809067037,128.0631546738082,,,120.91280627547809,,,,,0.0,0.0,0.0,0.0,1.372981441617743,29.000000000000004,39.81648062042216,1138.0,1016059.2739726026
NE,,1940.0,22.759036144578314,1940.0,1940.0,21.0,15.0,4.651352129544674,62.0,35.0,4.341144038594074,0.2866988283942109,0.0,290.2,0.0,293.0,199.0,154.0,0.0,137.0,7.0,0.5561681598897312,,167.0,5.14998083794751,4.205285805440081,1.2779885362956582,8.946976683100907,,0.2566936173591712,1.4613624987267764,,,,,13.5933670921368,3.0197445498779416,1.1962200449500426,,,,15.235354927636118,96.2584672128173,,,,,3.9360527910656526,,116.31192434440939,117.42092638807327,103.37025689256441,90.77619130355437,,,97.87759746578679,,,,,0.0,0.0,0.0,0.0,2.034840079255686,39.0,79.35874895158922,1140.0,1015626.1678152999
NYC,,1940.0000000000002,25.861072902338375,1940.0000000000002,1940.0000000000002,8.0,10.0,4.5923671578243335,29.0,18.0,3.5589203423304814,0.5213956550362081,0.0,151.89999999999998,0.0,174.0,95.0,79.0,0.0,59.0,5.0,0.6227781435154709,,43.0,2.509058314500681,3.406598473780513,0.8569959985780121,10.130084874355743,,0.2825364206337315,1.5040759275706956,,,,,15.663995664946892,2.522201935760677,1.484825892174044,,,,9.053982883475973,95.03778926622047,,,,,4.486193355660283,,56.66689062249459,95.11980091960574,69.31822480784528,102.78002894683398,,,100.73841249177184,,,,,0.0,0.0,0.0,0.0,2.166339032258065,27.000000000000004,58.49114351887857,1141.0000000000002,1015778.6076366034
NYG,117313.47336928418,1940.0000000000002,30.057102755411098,1940.0000000000002,1940.0000000000002,72.0,79.0,3.764753339193477,317.0,151.0,8.497599172637955,1.533131417596218,18.0,1353.6999999999998,5817.0,1374.0,654.0,567.0,109.0,472.0,18.0,3.4403486740045803,0.31912536012410436,605.0,4.016892534454647,3.1335725797744596,1.3106191316355176,9.124075174017774,0.7238828029584954,0.25765859892088977,1.3619608615324705,0.27418421407839194,0.7074092146339663,4.115627398830844,0.20348429158971712,17.82846646051054,12.07207315415144,2.088174267101596,0.1620691983311182,0.14378413239824475,0.3058533329289478,32.01662111250647,96.44038315940281,102.08064162066246,0.10381764104823818,0.08091618040112286,0.022901458815838077,3.9798143873972878,-0.35087405963736606,114.42894682555207,102.48167551174993,114.16047417141108,99.27270933723739,129.69177057186084,99.32444368257663,100.07377702791358,99.6066074305849,102.69000403901642,114.31216990770162,102.28629879461607,0.0,0.0,0.0,0.0,1.1611573568737537,152.00000000000003,176.4960409661661,30.000000000000004,1007161.8577971486
NYY,117045.81076134702,1940.0000000000002,30.010688140556372,1940.0000000000002,1940.0000000000002,88.0,66.0,3.9008267636232166,275.0,155.0,9.29084919472914,1.0063689604685215,14.0,1365.9999999999998,5888.0,1385.0,671.0,593.0,119.0,509.0,16.0,1.7464860907759885,0.2456076134699854,558.0,3.6702429030389307,3.3470376173653187,1.2400902947057102,9.109601568368879,0.7828481963370986,0.257755529047448,1.384071020637133,0.2695830498264328,0.7166938299663251,4.344217579149935,0.20049161110907762,12.636911954378405,10.309138715267181,2.39315792868462,0.5184344830255995,0.6723418074735001,1.1907762853327817,25.384040995607624,93.01718936825579,104.66637340196716,0.09497318641947292,0.08531303270204979,0.009660154377013178,4.138710067620636,-0.44339081552671905,94.4961844498999,90.64065913075592,117.89904639845783,95.00980995027324,107.94576947082308,96.31277912370143,93.79499366753559,94.95489405460441,106.2524088429825,96.93732170567424,91.59006723226031,0.0,0.0,0.0,0.0,0.9472207789165449,155.00000000000003,146.8192709206488,9.0,1006895.0221815521
PHA,115453.78952466098,1940.0,27.451497541350022,1940.0,1940.0,54.0,100.0,5.215276544882769,271.0,154.0,9.349724333184325,0.47861719564893457,12.0,1342.2,6090.0,1543.0,932.0,780.0,135.0,534.0,15.0,4.104082849053792,0.5786767992847563,488.0,3.2666238838157886,3.5734065124773084,0.9588916945470125,10.319929872279037,0.9016352291874654,0.2772842660731222,1.5437040427507054,0.28519810629478337,0.6161554740783788,4.679281102109352,0.18950462492698555,15.256212416477304,9.61624226346612,0.42277437524661593,-1.1053847930470575,0.0697418436424141,-1.0356429624031926,29.680748025629562,117.50276139249624,106.44346917736432,0.08039208627477276,0.08718134169348832,-0.006789254672180002,4.336102961275868,0.5359954427734189,84.10437706940803,96.77092362291391,91.16466517651016,107.6330911408831,124.32513615287563,103.6098754950944,104.61291996974198,100.4549654929368,91.34724011671041,82.05467056999531,93.59583818694786,0.0,0.0,0.0,0.0,1.0423972545075249,153.99999999999997,160.52906206588136,10.0,1005334.6668156757
PHI,116965.81784633551,1939.9999999999998,27.699977858144507,1939.9999999999998,1939.9999999999998,50.0,103.0,4.396126070760083,286.0,153.0,10.401431839988192,0.9359362314561959,8.0,1354.9,5888.0,1429.0,750.0,663.0,92.0,475.0,26.0,4.515831426673555,0.7662558122370654,485.0,3.216235567650769,3.1496781659970887,1.3265821508281055,9.476518264562516,0.6093891429147741,0.2639330608904091,1.4029107145066229,0.27633935967952766,0.6561203748114252,4.151215688639002,0.17854905555317732,17.827821301836764,10.92872244399041,1.2983242698647266,-0.7870754920750695,0.28787970667239865,-0.49919579011241777,30.779540925529556,114.25266079691258,104.49091164117428,0.08267131049154919,0.08036711835412207,0.00230419010775703,4.226981625555519,0.24491038212108002,91.62068578942574,103.00839937697882,115.63626759974164,103.10739721718816,109.17893972460796,101.7431770263892,103.08267880446691,100.38953631863059,95.24473626950521,91.02823775655301,101.59223046887456,0.0,0.0,0.0,0.0,1.1588450217728246,153.0,177.30308705617145,26.0,1006820.426599749
PIT,115675.96253789522,1940.0000000000005,29.782301140464863,1940.0000000000005,1940.0000000000005,78.0,76.0,4.359662391067527,371.0,156.0,5.858091525913094,0.8326837014580628,24.0,1385.3999999999996,6144.0,1569.0,785.0,673.0,72.0,492.0,32.0,2.5940522592753004,0.4304172080265628,491.0,3.1820156593437665,3.18757949439333,1.0177362378872532,10.167263629801482,0.46657702620411273,0.2783243388824697,1.483871458243868,0.2952229646305777,0.6603296575003612,3.9766217478232893,0.17174475490327706,14.743358463027429,12.76434963196516,0.569628373149826,-0.22744358394007805,-0.6861129465025021,-0.9135565288849977,35.9912660603436,113.28604389793514,99.93660549068483,0.0801422996824022,0.07988640049588568,0.000255898992348781,4.251561111348043,0.3830406432442382,90.64586556845882,104.24794036072309,88.64913431578137,110.62291660535386,83.59253789322905,107.29085013502711,109.03148955638439,107.24963886521881,95.85577071923461,88.24358014902,100.98455247296512,0.0,0.0,0.0,0.0,0.9343185722535009,156.00000000000006,145.75389211432872,27.0,1005555.1295654688
PS,,1940.0,28.965452261306535,1940.0,1940.0,26.0,33.0,5.109718254233309,104.0,59.0,5.55255443886097,0.0,3.0,477.6,0.0,563.0,343.0,272.0,0.0,128.0,1.0,0.7097989949748743,,239.0,4.494491478966255,2.405774914337042,2.0206118216645725,10.579621050090699,,0.29227859662304934,1.4428217738253046,,,,,13.532447349985242,3.1305379755795,1.1993450506885146,,,,15.551926298157452,105.74422949354278,,,,,3.5905217260700346,,101.50774717764958,67.17458270189579,163.43743110833356,107.34103132023473,,,96.63579633142676,,,,,0.0,0.0,0.0,0.0,1.430215360134003,60.0,85.81289047571882,1144.0,1015738.8961474036
SLB,115919.05289876398,1940.0000000000002,29.87360211889347,1940.0000000000002,1940.0000000000002,67.0,86.0,5.0742558086128176,330.0,155.0,9.539287816362567,0.5588581518540318,9.0,1359.1999999999998,6164.0,1573.0,866.0,768.0,113.0,638.0,20.0,3.854473219540907,0.4100206003531489,435.0,2.8742659470701106,4.216563235322777,0.7316272204517364,10.393157977483218,0.7466805333055149,0.28519723562775373,1.623302356978444,0.29380137765543,0.6601228198911124,4.767707805682089,0.19210774236830488,14.748687821523172,9.574517797678709,1.364076133778515,0.29898907220799076,-0.34572498573910115,-0.046735920159452056,31.40170688640377,111.66601870026727,105.91329955670234,0.07085130074161272,0.10297522403472632,-0.03212392228516775,4.640118985946257,0.3065480029307286,74.00250399435821,114.18816117669412,69.55796035385148,108.39683347431574,102.95866439199297,106.56663103684463,110.00709647341624,103.48528479935898,97.86555543171636,72.31657325132946,110.55178120019633,0.0,0.0,0.0,0.0,1.0330237978222487,156.00000000000003,161.15193800157212,2.0,1005793.0676868747
SNS,,1940.0,24.384615384615387,1940.0,1940.0,12.0,12.0,3.9699909777255136,55.0,25.0,2.516569200779727,0.5667641325536064,2.0,205.2,0.0,196.0,127.0,93.0,0.0,82.0,12.0,0.34697855750487333,,135.0,5.877252109741996,3.5628113825841403,1.9104193740350879,8.469098379204338,,0.24576939246796456,1.3368788624209422,,,,,5.1650053216525675,1.0954747730866075,0.5432236928467367,,,,9.391812865497078,105.1050004644951,,,,,3.5155212191072205,,110.43817358620934,117.64362202055862,109.35666317235227,94.76395590725014,,,100.55480599263491,,,,,0.0,0.0,0.0,0.0,1.7458801559454196,25.0,43.64700954188149,1128.0000000000002,1015726.0823586746
STL,118406.77945667898,1940.0000000000002,28.690644590901783,1940.0000000000002,1940.0000000000002,80.0,62.0,3.643990226140362,287.0,143.0,11.147162835556985,1.5943578202861277,13.0,1244.1999999999998,5372.0,1274.0,603.0,506.0,71.0,422.0,20.0,4.451133258318598,0.8788779938916574,488.0,3.5209374118605545,3.041657861233623,1.269234955671114,9.18561723942257,0.5123600417557538,0.2578127354615063,1.3585861222951325,0.2746334660006136,0.6891881642051119,3.8977201771297283,0.1820086719554734,24.58283971943976,16.264831146225333,2.5418437923322847,-0.17383320283464634,0.21766945280885006,0.043836243373889125,36.21306863848257,89.90671635369092,92.94231600950798,0.09090782248673848,0.07782387518405401,0.013083947745539304,4.097624540332992,-0.2537299509893668,100.30070668360256,99.47565790071573,110.64466560334257,99.94230570228501,91.79508162647451,99.38386155650751,99.82580888763626,99.76981325191409,100.04497285588346,100.09734781738739,98.37730975789583,0.0,0.0,0.0,0.0,1.158282714997589,156.00000000000003,180.6919272633884,28.000000000000004,1008225.8057386273
TIC,116572.0,1940.0,21.138504155124654,1940.0,1940.0,3.0,7.0,3.0433221472566134,11.0,10.0,3.282828282828283,0.0,0.0,79.2,0.0,66.0,38.0,27.0,0.0,24.0,2.0,0.5429292929292929,,40.0,4.530538742899423,2.6974411221624814,2.5754068457070707,7.455252592334631,,0.2257286660920473,1.1280770793885682,,,,,7.514248074528601,1.789116983069107,0.878544954607155,,,,3.78030303030303,80.57156237777485,,,,,3.6092199660400097,,85.1323739027655,89.06919556550513,146.5599111877431,83.41965062918361,,,84.84955148235332,,,,,0.0,0.0,0.0,0.0,2.491369292929293,12.0,29.896468986164436,1126.0,1014143.3484848485
WAS,116084.37625877328,1940.0,26.04745193774794,1940.0,1940.0,63.0,88.0,4.539964122171666,268.0,148.0,13.471925541653949,1.216966737870003,7.0,1310.8,5875.0,1444.0,778.0,662.0,84.0,613.0,19.0,7.030210558437595,0.6884345437900519,609.0,4.175179912530987,4.203532201760679,1.0883743721330488,9.89996975980008,0.5761778514217241,0.27471097014474144,1.5670557735067512,0.29837462775696494,0.6674669426205371,4.227326944519459,0.22098874619774186,23.49896011334896,11.928516611456871,2.0512332803853086,0.40031042845870274,-0.6039549788009111,-0.20364459699146548,32.06522734208117,107.81293752206221,101.46045977497235,0.10345028582926458,0.10321293897390907,0.00023734828196521183,4.251783717879802,0.3126371776522091,107.49658307339016,113.83526957335646,103.48909092921369,103.25306088666575,79.44830404511997,102.64833925458791,106.19540772198249,105.09611485397868,98.95434821581792,105.58973744009096,110.8069849574101,0.0,0.0,0.0,0.0,1.2948781461702776,154.0,199.41158248150825,8.0,1005957.3617638085
