Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerid
DET,115860.25693080113,1937.0000000000007,27.374881757985886,1937.0000000000007,1937.0000000000007,89.0,65.0,4.872389793035204,286.0,155.0,10.87258968201994,0.9312377210216112,11.0,1374.2999999999997,6177.0,1520.0,841.0,746.0,102.0,634.0,0.0,24.0,3.1220257585679994,0.4833005893909628,484.0,3.1633339404733656,4.142016218791155,0.8140535438201267,9.929996056317169,0.6663602560017724,0.2744891511171533,1.5635569194564807,0.2868214722092155,0.6588317455402753,4.8928147120723375,0.19728345699192315,21.26495797050201,11.595456501003355,2.1708618182091795,-0.34030835903673573,0.584667922191895,0.24435954241112304,32.1466200975042,104.17575137860463,103.03456724846393,0.07865350349705306,0.10221675431201341,-0.023563251555701093,4.689917288578644,-0.020424919037134115,86.43153110345534,105.4977082460087,87.32707059690355,99.23170999359219,100.61237621641328,99.02842225269329,100.99739494108465,97.54502461684922,99.23187804662663,86.3087095343832,104.55931131918479,0.0,0.0,0.0,0.0,1.1624444553590922,155.00000000000003,180.17867376370125,6.000000000000002,1005735.2127628614
DTS,,1937.0,30.206781914893618,1937.0,1937.0,7.0,11.0,6.419802379002452,28.0,17.0,2.8347266881028936,0.0,0.0,155.5,744.0,186.0,146.0,113.0,7.0,80.0,0.0,12.0,0.3479099678456592,0.0,83.0,4.768260392097748,4.5590885502842955,1.1779197400192927,10.668296163142001,0.4011999878995231,0.28482156062397945,1.691931634825144,0.31910456316145314,0.5052240934019293,4.460497282012453,0.22608683001286167,-0.20501997026156682,-0.11440853276872076,-0.27032881208554727,-0.026679018197335612,-0.2319164103070735,-0.25859543823927544,6.721543408360129,143.72391064539536,119.46762557110617,0.11291706610932475,0.10369494453376206,0.009222118932475886,4.296492846280931,1.9593050969899994,87.39992970966443,153.02933841653066,66.02188166298903,109.91022009087153,113.594634962658,107.73472470217686,120.03678372835279,105.4420189557682,90.34525018853788,82.77431305802914,139.19998093696012,0.0,0.0,0.0,0.0,2.051652977491962,20.0,41.03299408579946,1120.0,1016268.6276527332
HG,,1936.9999999999995,25.91606886657102,1936.9999999999995,1936.9999999999995,37.0,11.0,3.774245547832434,81.0,46.0,5.784843413817835,0.4281616065025101,9.0,418.3,1793.0,384.0,221.0,177.0,15.0,150.0,0.0,8.0,0.2703801099689218,,229.0,4.922727907331475,3.1931776226780304,1.612012752615348,8.223846679256976,0.32247989928602183,0.23318718406128439,1.2685582557705561,0.2639673119854821,0.6239363939158498,3.6939548892659193,0.21907289839588812,13.00304589259006,6.220467921346426,2.025704559350189,-0.15227738791499526,0.8971601572780981,0.7448827588110056,15.29356920870189,75.56987315630226,90.67933245121455,0.12800327733205835,0.08268703069567296,0.04531624663638538,3.8633633353401193,0.08029065856651423,108.34210158456388,100.62881317333807,112.57983867267558,81.80374863336178,53.939593624011614,85.231727579369,86.32019469406087,88.22876354484053,106.06529237682336,112.85794825244233,104.38938409383417,0.0,0.0,0.0,0.0,1.5842912192206549,52.00000000000001,82.38304527823844,1137.0,1015692.9985656227
IA,,1937.0000000000007,26.361313868613138,1937.0000000000007,1937.0000000000007,6.0,10.0,5.575587736780672,24.0,14.0,2.338954468802698,0.0,0.0,118.59999999999998,554.0,153.0,101.0,74.0,0.0,40.0,0.0,2.0,0.0,0.0,68.0,5.109041426333516,2.9843994946529353,1.9925285730691404,11.511283157355807,0.0,0.2960815531083096,1.6106314057787492,0.34211571879308766,0.4723591194519394,3.105964711973073,0.19518841578414842,6.050666377840416,1.9028592915274203,-0.13021756895200604,-0.3542434554138735,-0.43109448011697576,-0.7853379264797052,6.27993254637437,124.8239784292465,89.14290425268021,0.12272020715008435,0.07246820575885332,0.05025200139123103,3.8041342993831324,2.469623024807598,93.6462828844938,100.17368059431271,108.99133750342861,118.59510141127289,0.0,111.9938551829954,114.26880953232907,113.04561661124056,84.30888393408073,89.96054585976013,97.28124254808203,0.0,0.0,0.0,0.0,1.8296944688026986,21.0,38.42353343631929,1121.0000000000002,1015284.5902192247
KCM,,1937.0000000000007,26.44301288404361,1937.0000000000007,1937.0000000000007,19.0,9.0,2.8093673560980283,48.0,24.0,3.5571992110453654,0.33086785009861935,7.0,202.79999999999995,850.0,184.0,89.0,64.0,6.0,54.0,0.0,7.0,0.9546351084812624,0.0,157.0,6.9109486417600285,2.3816973517846898,3.1044007403155827,8.106617875295308,0.264516249597036,0.23242444332867773,1.165368358564444,0.284523693647678,0.67234820382643,2.942854039224627,0.25575803197238656,8.664742982187686,3.5633881045505404,1.8945118683469309,0.6221227943621709,0.344078883662346,0.9662016541265407,13.052268244575938,62.89496763616336,85.49124920608813,0.18533171083333336,0.06344160085305722,0.12189010998027615,2.9444769331990366,-0.13348668312659848,126.67437930150383,79.94351634808378,169.69174863615572,83.5185057895773,74.89438614387942,87.9153367505411,82.67891369932484,94.01542993224,120.17290134455655,135.8581653225068,85.16393521406849,0.0,0.0,0.0,0.0,1.035664842209073,56.00000000000002,57.997350659243466,1124.0,1015352.8037475345
MRS,,1936.9999999999998,26.778708133971286,1936.9999999999998,1936.9999999999998,4.0,10.0,6.063187754687605,24.0,15.0,1.8106255355612682,0.0,0.0,116.70000000000002,573.0,152.0,105.0,80.0,2.0,51.0,1.0,5.0,0.0,0.1122536418166238,60.0,4.552208891528428,3.8529226658988787,1.3193658946015423,11.488652922150939,0.15204883382514814,0.29004080582183805,1.704619509783313,0.325831121562178,0.5207262649871464,3.8206474408211903,0.2008547907197943,1.7503844799143484,0.8825047770515084,-0.2064362148153368,-0.196214057872233,-0.201132597349865,-0.397346629394057,4.713796058269065,135.7401682536502,105.1429289569819,0.1092643427335047,0.08807331362467864,0.02119102740359897,4.1528659502569845,2.242540313866415,83.43980916030854,129.32633354879545,70.99972280214605,118.36195320334554,43.05067870338806,109.7089219620774,120.9369452189106,107.66468193297379,93.11738209738436,80.09667072339954,118.22952228453353,0.0,0.0,0.0,0.0,1.1832739502999141,19.999999999999996,23.665517192777646,1124.9999999999998,1015112.4678663238
NBY,,1936.9999999999998,30.007342657342665,1936.9999999999998,1936.9999999999998,14.0,20.0,5.4074604979248235,59.0,35.0,2.8801537386443044,0.1474493361285814,1.0,286.20000000000005,1338.0,366.0,213.0,174.0,20.0,106.0,0.0,2.0,0.0,0.0,151.0,4.713346997309964,3.308467918391398,1.580465718448637,11.402347974432484,0.6242200705959688,0.2958660589413719,1.6345350992026535,0.32514631282934875,0.5904001252690426,4.178208482365803,0.20681813155835074,4.4887753395685195,2.897617466049269,0.19473928592286893,-0.03299004109566581,-0.2152947756535992,-0.2482848087088793,9.325646401118098,108.27093752831699,100.37530536613484,0.11279732547519217,0.07921172809224317,0.033585597697414385,4.00413113077337,1.2292520155590212,103.73393142963121,104.26203593728489,110.49247517226974,113.42074383308795,104.41015708093737,108.14134334691894,111.22342025336884,108.67730908164538,100.33999839882799,99.4511616561504,100.0019401271411,0.0,0.0,0.0,0.0,1.3508698043326346,34.99999999999999,47.28045773443686,1138.0,1015636.8029350103
NE,,1937.0000000000002,27.21757322175732,1937.0000000000002,1937.0000000000002,10.0,8.0,5.151445104304721,26.0,20.0,4.370558375634518,0.0,0.0,157.6,709.0,188.0,111.0,91.0,13.0,51.0,0.0,1.0,1.0558375634517767,,74.0,4.1905440454941,2.8860640804545192,1.472125535241117,10.640036075479983,0.7355919389059161,0.2851650184929953,1.5029000173260558,0.30651457625470857,0.5804605565482235,4.312583712978413,0.194652351535533,5.199276724764085,1.4226942360401154,0.3976626057688355,0.0014536554740770204,-0.09824176631905708,-0.09678811436225922,8.718274111675127,103.14486648266312,103.06583490483317,0.10455945139593908,0.0719505673604061,0.03260889134517767,4.015851622832561,0.8388613913263083,92.22779670502311,90.95053187638565,102.81038698361995,105.83792117183607,123.03877030950112,104.23002991868121,102.26619196332513,102.44981421378048,98.67467110935524,92.18799321572237,90.83498308371702,0.0,0.0,0.0,0.0,1.784922258883249,32.0,57.117625154214466,1140.0,1015459.9225888324
NYG,117291.2018428099,1937.0000000000002,27.698692707512993,1937.0000000000002,1937.0000000000002,90.0,54.0,3.311730219518762,258.0,147.0,11.132461805008662,1.7942195621357693,17.0,1269.8,5323.0,1240.0,545.0,468.0,80.0,363.0,0.0,19.0,3.644747204284139,0.19318002835092143,620.0,4.387939115189964,2.5687878550923857,1.9209070481886912,8.775471171920094,0.5660280724400949,0.2505568760512774,1.260473225223609,0.27310360020291496,0.7145625759158923,3.9439440349782555,0.19975998124586547,26.909820840609957,14.594735760241747,3.6623460825155396,0.22574682734879684,0.7989411621013763,1.0246879775930828,36.64647976059222,86.01115570772453,95.97575189154566,0.1170544495140967,0.06759875719640888,0.0494556942707513,3.8136899459679805,-0.6322138154594937,117.3315984002668,85.33544247407659,154.6178243216264,92.16025926933291,110.41041185538575,93.8734359580988,90.52093705241656,95.25253840977489,105.52846864880384,121.48513693456628,87.16070109678914,0.0,0.0,0.0,0.0,1.330231148212317,152.0,202.19515140669833,30.0,1007140.1634903133
NYY,117982.61296076099,1937.0,29.850401307966703,1937.0,1937.0,99.0,50.0,3.6685348102093625,246.0,152.0,12.003046967895362,2.2959274673008316,20.0,1345.6000000000001,5808.0,1368.0,652.0,549.0,90.0,489.0,0.0,12.0,1.8811682520808561,0.25572235434007135,635.0,4.242558790122641,3.267238304097607,1.38217310234022,9.14067487285326,0.6013813101870389,0.25692319812255865,1.3786570196612076,0.27802315786052206,0.7046787643452734,4.242021514202616,0.2096739977615933,28.68006228068212,16.060271313413978,4.119745551534307,0.4705941696572654,0.9663152761500458,1.4369094154834037,27.375891795481568,83.88974388159397,95.31628567417131,0.11046625428656359,0.08378911749851367,0.026677134803805,4.087032675492042,-0.5734867039932525,115.91910905614058,83.21699751249889,148.2717309514957,91.34392329910897,90.80133769247028,92.69109123855335,89.05385264223332,94.55280864668623,106.13726158141894,121.21773799968938,85.70936015763064,0.0,0.0,0.0,0.0,1.1183708903091554,157.0,175.58421398258096,8.999999999999998,1007813.8085612367
PC,,1937.0000000000002,26.206286836935167,1937.0000000000002,1937.0000000000002,7.0,16.0,7.0284909123761015,43.0,22.0,2.189255791030064,0.0,1.0,202.9,952.0,262.0,192.0,161.0,22.0,84.0,1.0,3.0,0.6229669788072942,0.0,73.0,3.216766663063582,3.694348639962656,0.8758286905076391,11.457028370577797,0.9629775429021884,0.2967648314229037,1.6834863345044948,0.30575873676686194,0.5092485999901429,5.152171837646612,0.18678521128634792,-0.33410642204641894,-0.2470434568822384,-0.1800118980001146,-0.18401640417130494,0.029184062764628756,-0.15483232322087012,8.429275505174964,140.72803690091717,119.87649740164707,0.07741755911779202,0.08687410357318877,-0.009456543760473139,4.5206368167956175,1.8763190747294887,70.79636883127978,116.42256179165963,59.68933973182615,113.96465735140859,161.07241861646398,108.46985167215186,114.55435136555737,102.19718148077473,86.56908268659625,68.25752314993342,109.675408751714,0.0,0.0,0.0,0.0,1.1252695909314934,39.0,43.885510721954,1143.0,1015752.728437654
PHA,119010.81033835998,1937.0,26.321779578362968,1937.0,1937.0,54.0,97.0,4.854273923843257,297.0,154.0,9.31255157926326,0.9048690824517969,9.0,1332.8999999999999,6016.0,1490.0,854.0,720.0,105.0,613.0,0.0,17.0,3.9963988296196264,0.3117263110510916,469.0,3.1618436653581328,4.132392888778713,0.8035344329394554,10.045540215574004,0.7079314971032212,0.275642103142272,1.575325900483635,0.28653635554624163,0.6445212519153725,4.9359551245735185,0.19754475371220648,15.192604194880783,10.155144780874252,1.0093162612384035,-0.7212202975763877,0.38407784277137647,-0.3371424546995746,32.448720834271136,103.8340915328953,104.00269187868884,0.07829392897966841,0.10168727835921676,-0.023393348801110363,4.687878464757125,-0.08168120073026197,86.3908124305619,105.2526007407793,85.90910649496917,100.38635743129522,106.88913313852937,99.44437683419817,101.75760802323255,97.44805938027105,97.07646133382296,85.91413788132341,104.0177001636882,0.0,0.0,0.0,0.0,1.054271670042764,154.0,162.3577241991312,10.000000000000002,1008818.8596293797
PHI,119288.19171890947,1936.9999999999998,28.04446712348739,1936.9999999999998,1936.9999999999998,61.0,91.0,5.0449311804216155,332.0,155.0,10.103805219419739,1.068450211401079,15.0,1371.8,6100.0,1629.0,868.0,770.0,116.0,501.0,0.0,31.0,2.3833649220002915,0.1568741799096078,529.0,3.4664057422667702,3.2686124629443962,1.2143794622670943,10.666464579257216,0.7601251151004966,0.2920855871020961,1.5483418935779572,0.3069619338715097,0.649315890828838,4.685170859445772,0.18736874211765564,27.168062249863617,14.388317816890776,1.3476611044350755,-0.1738604241668448,-1.1519056669134826,-1.3257660577400925,44.012975652427464,114.36715461615651,100.577113542234,0.0870585114054527,0.08122865707829129,0.005829858484472956,4.337200008642167,0.3597603209758436,92.69019368023201,108.58370038175444,97.74794185045138,112.01952827980323,148.27131569300482,109.43254915702612,111.19423743358425,107.06158166611634,95.89266764342554,90.35380820449093,104.73486682633278,0.0,0.0,0.0,0.0,1.3359275098410848,155.0,207.0685631520791,26.000000000000004,1009088.2227001021
PIT,115136.8893712575,1937.0000000000002,28.61534431137725,1937.0000000000002,1937.0000000000002,85.0,66.0,3.54412326538351,292.0,154.0,8.252994011976048,1.4451347305389222,15.0,1335.9999999999998,5701.0,1367.0,633.0,527.0,68.0,422.0,0.0,19.0,2.682559880239521,0.0,622.0,4.182368438749449,2.8374034672274466,1.5007695887702097,9.193013062921594,0.4575188393256922,0.25929630656229535,1.336712947794338,0.2839871510326926,0.6853593418023953,3.92019073384228,0.19520000244311378,21.21548550519758,16.486784055829048,2.2131695092482837,0.10810451314681414,0.0316204746348594,0.13972498205585218,32.75800898203593,90.34964573952352,93.60062714842611,0.1093330438203593,0.07396160591766468,0.03537143863697605,3.982701024845259,-0.37606746845877054,111.83472722274922,94.25888551805888,120.80008179966845,96.54529662819715,89.24441373337348,97.14774390492363,95.99609589721813,99.04848193698535,101.21565886216366,113.4714635194771,95.36485292606845,0.0,0.0,0.0,0.0,1.0466189528443113,154.0,161.17925067376234,27.0,1005025.9796407187
