Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,H,R,ER,HR,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
PHA,115242.4224349158,1912.0000000000007,27.435987748851456,1912.0000000000007,1912.0000000000007,88.0,56.0,3.265718027684994,223.0,144.0,14.85758039816233,1.7971669218989283,9.0,1305.9999999999998,1215.0,626.0,475.0,12.0,499.0,52.0,3.6516845329249628,0.3508422664624809,586.0,4.030286632911769,3.4299692009827485,1.3190273940451764,8.357814562786421,0.08254166707525482,0.24696805470666913,1.309753751529908,0.27862602717094753,0.6575054950214395,3.3345724785510957,14.155055333845104,8.650598831474781,2.712349850606818,0.20584466803482354,1.0412882311442213,1.247132918462129,30.263093415007667,101.6910215106959,107.00923039081242,3.4384332442793437,-0.06885445086610155,94.9399251228369,110.34898141306891,96.63411257857985,93.84598722308533,64.27746317008774,95.07779068070994,98.11562109630945,94.95182535193264,102.15133959933677,0.0,0.0,0.0,0.0,1.25174984762634,153.0,191.51754080044373,10.000000000000002,,1005129.0285604902
PHI,116430.73749805265,1911.9999999999998,24.786259541984727,1911.9999999999998,1911.9999999999998,69.0,74.0,3.2419201251869176,237.0,142.0,13.838682037700574,1.777847016669263,9.0,1283.8000000000002,1301.0,649.0,463.0,38.0,492.0,33.0,4.902788596354571,0.25237575946409097,594.0,4.157674784633453,3.44209805498111,1.2796961460180714,9.105014273581377,0.26593754148597637,0.2628612462952247,1.3941235920624984,0.29285928675792633,0.6685282408692942,3.533187220636096,25.400525373651764,13.924495490180561,3.1178865153188684,0.3531538131573542,0.19509375015568803,0.548247569487425,33.011372487926465,92.81721991712003,98.24140899485064,3.4041298165044367,-0.2912670954491775,109.26889579867706,107.73574977065893,107.45244928629542,99.12634549576791,112.70343058197933,98.91789833385093,101.34816508650835,99.88856147212749,102.93906336611404,0.0,0.0,0.0,0.0,1.3345899112011215,151.99999999999997,202.85752219109358,25.999999999999993,26.0,1006293.9670509425
PIT,116024.60875867857,1912.0000000000005,25.48363469901579,1912.0000000000005,1912.0000000000005,90.0,54.0,2.6956287260651286,210.0,147.0,16.748455024032964,2.732051575494011,7.0,1310.6999999999998,1178.0,508.0,393.0,27.0,469.0,41.0,2.5595483329518585,0.5532921339742124,645.0,4.4241105058325285,3.212240458674385,1.56758958523003,8.065612870055894,0.18517695417666152,0.2408899027116383,1.2530948143033642,0.27321549800282124,0.7180935495849547,3.29741835385478,26.21466871487146,14.793403146788478,5.249234010008487,1.474321722894216,1.1466041801018,2.620925890534896,33.90905622949569,81.02956580394601,96.05873151609221,3.23906011712464,-0.6017896277896508,116.27115994024676,100.54133517728316,131.62604328061812,87.8103761256149,78.47736684266626,90.64981332135591,91.09584030579373,93.18845022644342,110.57106159886224,0.0,0.0,0.0,0.0,1.5056133134966052,152.00000000000003,228.85328437192058,27.0,,1005893.8141451135
SLB,114675.69232617751,1911.9999999999998,25.34347965395706,1911.9999999999998,1911.9999999999998,51.0,86.0,3.5076524910735927,218.0,139.0,12.341557193207304,0.9090836270426144,4.0,1248.4,1283.0,671.0,488.0,16.0,397.0,53.0,4.268663889778917,0.13537327779557834,498.0,3.582261154645561,2.853235909358557,1.4993051593760012,9.223352693063319,0.11524930088875623,0.26604075845303454,1.3418431780468747,0.2942540328720203,0.6224121927451136,3.29716366291421,15.82317843720035,10.56210522307083,1.4714375098272607,-0.2918074471719063,0.1251543069766964,-0.1666531385737509,28.283803268183267,106.63973668644219,103.33948560238193,3.400264595636634,0.21048882815938275,84.38595980127211,91.79431589027023,109.8860502660755,103.56470970787547,89.74779594046042,102.42040240701576,100.5194882428314,100.27762955979601,96.69917529995854,0.0,0.0,0.0,0.0,1.1294877242870873,156.99999999999997,177.3296918375146,2.0,,1004577.6903236139
STL,119175.60865237369,1912.0000000000007,25.211485451761106,1912.0000000000007,1912.0000000000007,62.0,87.0,3.8898145702072013,275.0,149.0,9.9489280245023,1.2909647779479327,11.0,1305.9999999999998,1429.0,806.0,567.0,31.0,548.0,36.0,3.9379785604900466,0.22511485451761107,470.0,3.2342007639332526,3.757202499616168,0.9661934113445637,9.822025545223884,0.21321945158853522,0.27832802073075974,1.5088031160933393,0.3020554048521209,0.6179000551799388,3.7728137868215885,15.923179753793331,7.8498805202543736,0.796838747794422,-0.584866676607225,-0.20347701719317413,-0.7883436836655984,36.69854517611027,115.47372354216338,108.97803811759765,3.783101870304684,0.1170007833856124,84.9988430005067,117.59834318216811,81.12851546523564,106.93245154915674,90.36168239565146,104.73823451017931,109.68498644129596,103.02517707249324,95.14340475469737,0.0,0.0,0.0,0.0,1.2824457197549777,153.0,196.2143982421476,28.00000000000001,,1008978.6665390505
WAS,115663.88773305593,1911.9999999999998,25.45290869808754,1911.9999999999998,1911.9999999999998,86.0,54.0,2.6543311591694767,203.0,142.0,20.97407377770665,2.8655677362567014,7.0,1249.7,1102.0,528.0,370.0,23.0,472.0,46.0,7.074017764263423,0.48427622629431066,763.0,5.49060986420672,3.3930981382320717,2.1313272764191407,7.9157916138985325,0.15831593862628593,0.23652407940719392,1.2565433057922895,0.27913511654445944,0.6940566178674883,3.098405493603876,38.51816214605476,15.036568521987647,6.3468191188684004,0.9499816990413431,1.1721277955703087,2.122109565195574,35.737296951268306,79.77576041013275,96.1860425060395,2.9025975237864277,-0.4440743344343994,129.34020253787438,109.1627654502583,156.0826113583537,88.88271845204267,123.2849695779851,91.05706784440056,94.12954667105237,95.12531583942604,107.82999336420359,0.0,0.0,0.0,0.0,1.6294668544450668,153.99999999999997,250.93798014275728,8.0,,1005551.4488277185
