Team,xMLBAMID,Season,Age,SeasonMin,SeasonMax,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,H/9,HR/9,AVG,WHIP,BABIP,LOB%,FIP,TTO%,RAR,WAR,RA9-Wins,LOB-Wins,BIP-Wins,BS-Wins,Games,ERA-,FIP-,K%,BB%,K-BB%,kwERA,E-F,K/9+,BB/9+,K/BB+,H/9+,HR/9+,AVG+,WHIP+,BABIP+,LOB%+,K%+,BB%+,rFTeamV,rBTeamV,rTV,Events,Q,TG,TIP,teamid,playerTeamId,playerid
KCR,116256.15141466167,1971.0,26.15324913568052,1971.0,1971.0,85.0,76.0,3.2489570225716933,425.0,161.0,4.646793198334863,1.3130600437451492,44.0,1417.3,5925.0,1301.0,566.0,513.0,84.0,496.0,21.0,36.0,3.5111126790376064,0.08967755591617865,775.0,4.9119433441571445,3.143051317667268,1.7699960355217668,8.242572390008041,0.5322291244958285,0.24060323376822373,1.2650693008528122,0.2678188118188611,0.7419047620948281,3.25225427208197,0.22743152510548223,17.517635893217804,19.081609711050987,2.3819697649832343,0.3910386018533356,-0.015205895106726632,0.37583272407467605,32.851478162703735,93.58197139923293,91.01154709194729,0.13029343787483244,0.08300112256473575,0.04729231545897128,3.590049121909468,-0.0032972495102761767,90.61951498261998,93.23168502161565,110.08511754649334,99.24245167924116,68.90499336060012,99.558500636981,97.5070628333277,100.16604720709324,100.19860394591397,91.2466901761026,93.45923328906,0.0,0.0,0.0,0.0,0.8528558435052565,161.0,137.309984783947,6.999999999999999,2.0,1006125.1139490581
LAD,118588.49115322751,1971.0000000000005,28.023288341842093,1971.0000000000005,1971.0000000000005,89.0,72.0,3.26197909163405,340.0,162.0,7.840128680327297,2.5540247569760126,30.0,1429.8999999999999,5929.0,1357.0,585.0,519.0,109.0,395.0,25.0,19.0,4.953283446394853,0.4231764459053081,838.0,5.266263901202277,2.4810434234571512,2.2197242279970637,8.529506176112735,0.6849307417321432,0.24531584348896443,1.2233943999522094,0.2720493703299662,0.7359030956108819,3.1371438116168364,0.2268886147255053,21.809029575461018,15.573951378464699,2.717197772847814,0.06548283843899227,0.0643893051914664,0.1298721679329041,34.03119099237709,98.68604428171457,97.67936188902638,0.14210650009371287,0.06644282853696062,0.07566367438282398,3.2495928198283313,0.12483528001721364,96.99980153205665,79.51053340366825,127.57834606221593,99.83175927382656,96.4436499925462,99.53849378386509,94.39548430613054,99.07240555745126,100.61138369178312,99.44084622962694,80.89488528072036,0.0,0.0,0.0,0.0,1.1953583852017622,162.00000000000003,193.64806895436456,22.000000000000004,,1008409.7548779636
MIL,119603.35813073226,1971.0000000000007,25.697845392342412,1971.0000000000007,1971.0000000000007,68.0,90.0,3.340861843529222,375.0,160.0,5.287742029407482,2.252584073373126,32.0,1373.8,5802.0,1261.0,584.0,512.0,123.0,545.0,74.0,26.0,3.024166545348668,0.39430775949919933,774.0,5.055718109492804,3.5572127693810063,1.5791519312520017,8.23219452526203,0.8038117442736284,0.24013173500636656,1.3099341438492262,0.26140755900443674,0.7603597363087786,3.7311443066233823,0.24796689354855148,15.594183428264252,10.248156202957034,2.65118135861355,0.4302596499269438,0.48225364567296247,0.9125132936819432,39.20082981511136,96.80547921221059,105.43302157158767,0.13404285677682343,0.09265446745596158,0.04138838956980637,3.660896248562038,-0.3902824630941612,93.2719884719479,105.51687101181082,98.21554547615662,99.11749982054252,104.065411592824,99.36340055853434,100.96508609111262,97.7681952873387,102.6910568508403,93.872471128988,104.32889714672348,0.0,0.0,0.0,0.0,1.1572747095647111,161.00000000000003,186.32130793773516,22.999999999999996,,1009397.2310379968
MIN,115774.67076281011,1971.0000000000005,26.681273668753384,1971.0000000000005,1971.0000000000005,69.0,77.0,3.7011148617853182,330.0,159.0,8.58907179843883,1.8787386969626714,16.0,1293.8999999999999,5507.0,1261.0,587.0,533.0,130.0,457.0,47.0,29.0,5.081768297395472,0.21493160213308607,827.0,5.742877265534275,3.1698159869236697,2.1974774437754085,8.758517532944584,0.9024410710634184,0.25067651130211116,1.3253703910964727,0.2780704273357342,0.7432864891861813,3.6023393019084144,0.25668885990880286,25.38242852479849,14.770942026749253,2.624104989589533,0.3602349460654728,-0.7426984943008994,-0.382463519132154,37.99080299868615,104.34447503535237,98.95086477818924,0.1511956827297318,0.0820048425998918,0.06919084173661028,3.3272667927888673,0.09877555987690378,105.94925795031351,94.02559990292677,136.6723754319249,105.45454888558055,116.83444807508853,103.72669236103782,102.15485737813489,104.00022075464304,100.38521427396674,105.88488541123944,92.33742102474457,0.0,0.0,0.0,0.0,1.275395256975037,160.00000000000003,204.06346795639828,8.0,,1005653.3256820467
MON,120358.4887223312,1971.0000000000002,26.857453068086297,1971.0000000000002,1971.0000000000002,71.0,90.0,4.1305465985317475,376.0,162.0,8.403054076772206,1.4448024656766603,25.0,1427.6,6219.0,1414.0,729.0,657.0,133.0,657.0,73.0,31.0,8.300644438217988,0.5615018212384422,827.0,5.200896125303821,4.130823504621038,1.2765524336200613,8.88919133962173,0.8358551148652528,0.25445853304621924,1.4466683160269742,0.27916007117564884,0.7180805520930232,3.944759272045394,0.26078291619991595,11.87996210982466,5.603719621896744,1.4545668077739422,0.04223236890015099,0.04082462217180704,0.08305697128934479,37.39093583636873,116.641703675686,113.98084474475249,0.13381839094003925,0.10568958941089941,0.02812880156626506,3.8200112918159075,0.18578732648635338,95.79578642614929,132.3813912902687,73.36967633557245,104.04161643511905,117.69499196178482,103.24819934025957,111.62300262861679,101.66191435552982,98.17471662061308,93.6411355303734,128.67825923260511,0.0,0.0,0.0,0.0,1.2037692140655647,162.00000000000003,195.01057196251315,24.000000000000004,,1010140.9774446625
NYM,119499.56345628416,1971.0000000000007,26.19187158469946,1971.0000000000007,1971.0000000000007,83.0,79.0,2.994331224256636,373.0,162.0,6.5951502732240455,1.4206967213114756,22.0,1463.9999999999998,6078.0,1227.0,550.0,488.0,100.0,529.0,63.0,40.0,3.9370218579234986,0.3608606557377049,1157.0,7.101382989587956,3.2464427151005837,2.5629493571625686,7.530900676309619,0.6137956771878321,0.2221668736943905,1.1974825990455782,0.2647737201283015,0.7609671660949456,2.923770268521737,0.2936934486427596,25.099610530277673,22.148496637120843,3.5960889289308287,0.08488722588215535,0.4238269509658565,0.5087141665156748,34.13784153005465,87.8596906187774,88.47585331779328,0.19175913183811474,0.08545781860177595,0.10630131504576501,2.881941132518467,0.07056095573489887,130.80102963239193,104.03944949194812,147.42805020270657,88.1437972971933,86.42727191356126,90.14564922385308,92.39616422102874,96.42282703940799,104.03809929674212,134.18591158105954,104.0458494989963,0.0,0.0,0.0,0.0,1.0257157513661201,162.00000000000006,166.16608628129046,25.000000000000004,,1009300.8650273224
NYY,117524.15352053053,1971.0000000000002,27.29575278679272,1971.0000000000002,1971.0000000000002,81.0,78.0,3.412712946300971,337.0,159.0,11.802314096232537,2.771624100465641,12.0,1417.4,5907.0,1344.0,621.0,539.0,123.0,412.0,70.0,22.0,5.543036545788063,0.520742204035558,691.0,4.376423837923002,2.606592304689296,1.9645533760138278,8.513332798757439,0.778977597173384,0.24507214362715324,1.235547233716304,0.261749495467089,0.725666093259489,3.5192232906990273,0.2057213918075349,21.508734146512847,11.80038917902857,2.4923561552931863,-0.36209743907715886,0.4356410130022306,0.07354357273660732,34.35642726118244,103.22248951128788,103.6451446132832,0.11654725138069705,0.06836903690630733,0.048178214672640045,3.579418357631361,-0.10651034439805555,80.73981676167132,77.31881161613477,122.18563496209251,102.50246876013905,100.85026108282608,101.40767763293705,95.2316064189568,97.896081837306,98.00547627157117,81.62000291164253,76.98351045340227,0.0,0.0,0.0,0.0,1.2870019563990405,161.99999999999997,208.49411835067613,8.999999999999996,,1007362.0122759982
OAK,115788.88328912467,1971.0,25.823681108163868,1971.0,1971.0,94.0,58.0,3.0254966541732555,314.0,160.0,10.751178897730624,2.9819481284998526,26.0,1357.2,5575.0,1133.0,519.0,459.0,121.0,470.0,52.0,28.0,4.829796640141468,0.42388741526672563,935.0,6.189626318620424,3.1040070730492526,2.2076808072693783,7.486447536792031,0.800641822870258,0.22184631317393064,1.1767171788712538,0.2498694144226191,0.7685414318994989,3.3286674410751287,0.2750172363292072,24.485027159844442,14.194207113236189,3.841401832262004,-0.08357787796897571,1.0280672719648876,0.9444893856746693,34.94481284998527,92.9821158595945,99.45550217408663,0.16998193978411433,0.08337803009578544,0.0866039129384026,3.118309971189729,-0.3031707869018736,114.19124684820432,92.07352362104538,137.3069749164842,90.13853597693819,103.6550180175762,91.797129928499,90.69719407459162,93.45285116712697,103.79604310294876,119.04121823505066,93.88363143519852,0.0,0.0,0.0,0.0,1.2583547008547007,161.0,202.59521722669732,10.0,,1005667.6381520776
PHI,118674.72965056874,1970.9999999999998,28.315169266398744,1970.9999999999998,1970.9999999999998,67.0,95.0,3.714306791566023,415.0,162.0,4.777944281724678,1.2905796607860498,25.0,1468.1000000000001,6207.0,1396.0,688.0,607.0,132.0,525.0,39.0,37.0,5.333969075676044,0.16013895511204956,838.0,5.128163391127182,3.2122094939416916,1.76615204955112,8.544348696547805,0.8077861988356827,0.24688712655730827,1.3062842433877215,0.26959895898661546,0.7202387617730399,3.6246266897660577,0.24063496112935082,14.132892639560131,11.58559652697295,1.487097924435013,-0.20062890709538636,0.041272447056199014,-0.15935646667015843,36.053198011034674,104.08785757391335,104.14054708130419,0.13552388425856549,0.08387082641918125,0.051653057682038,3.537720220521517,0.08968010179996473,94.4561154730079,102.94237007417784,101.5093472185839,100.00548034237333,113.74266722544724,100.17605207486915,100.79115434962605,98.18003757991627,98.46978315727031,94.83457510994704,102.1136691671646,0.0,0.0,0.0,0.0,1.0056339104965601,162.0,162.9125504204967,25.999999999999996,,1008487.7126898713
PIT,116009.41912632826,1971.0000000000007,26.922815820543104,1971.0000000000007,1971.0000000000007,91.0,60.0,3.3342824549746957,333.0,162.0,6.182556080283355,1.9569805194805203,38.0,1355.1999999999996,5727.0,1327.0,559.0,503.0,99.0,429.0,66.0,30.0,3.7432851239669436,0.14034828807556082,778.0,5.156897022951858,2.841838780415031,1.8936406481862458,8.796227547139214,0.6564858587255668,0.2512819511789792,1.2931184808393608,0.2791824591940138,0.7474620886732588,3.2669583406649663,0.2276301726128985,16.860641954233596,14.089099563658237,2.1925738506236834,0.36190488724556996,-0.12508428557666654,0.23682059004898448,31.83301357733177,98.69235175490718,99.40972511189756,0.13581828439197174,0.07455877079545456,0.06125951423110982,3.4224427463196525,0.06732411430972893,94.98536289330002,91.07301998091432,108.99759528444335,102.95354184314704,92.43838614086462,101.95928065506902,99.77530162702031,101.67006741551444,102.19170895393262,95.04058601769034,90.77613762663256,0.0,0.0,0.0,0.0,1.0146965532762693,162.00000000000006,164.38064414780007,27.0,,1005876.9447314051
SDP,116942.86453058853,1971.0000000000005,25.710384328048477,1971.0000000000005,1971.0000000000005,51.0,83.0,3.2965220190563254,322.0,140.0,8.232173985224538,1.682908607952187,10.0,1204.7,5152.0,1141.0,531.0,443.0,82.0,466.0,65.0,25.0,6.853158462687806,0.43795135718436123,789.0,5.874130223033112,3.4665403995458113,1.8081383101992194,8.495463464553005,0.6088016657907375,0.24385656000160952,1.329111540455424,0.27865225383615866,0.7311664293674773,3.2428046017417316,0.25817303847181866,23.507574784349504,11.988921906799078,2.6589624116144193,-0.3221820378169693,0.196387013686864,-0.12579502575294288,34.47779530173487,99.13918137317482,100.27726315136921,0.15324477518054289,0.08933536453971942,0.06390940638914253,3.3906440077208013,0.05371741731459398,108.19614749606183,111.09296742948078,103.9225017538322,99.43331372313601,85.72407572467046,98.94638004889751,102.55247822211543,101.47698216713312,99.96379451857317,107.23499526442832,108.7668071034228,0.0,0.0,0.0,0.0,1.1801470972026233,161.00000000000003,190.00340962601942,29.0,,1006791.5359010545
SFG,117231.17910242292,1971.0,28.595401982378856,1971.0,1971.0,90.0,72.0,3.3342877652517897,414.0,162.0,7.384774229074891,1.8078882158590308,30.0,1452.8,6094.0,1324.0,644.0,539.0,128.0,471.0,49.0,30.0,4.638215859030837,0.5143171806167401,831.0,5.141102051212369,2.9135368168481413,1.961657919660655,8.192156734559557,0.7918957972354487,0.2362758818861549,1.233965950156411,0.2576386166667307,0.7214335856697411,3.485625794956165,0.23390739574476874,16.625454722300564,12.211648618802428,2.135115992996354,-0.7368629162680842,0.9304502351724416,0.19358731400670837,37.027188876651984,95.74262603130835,102.71734592330165,0.1363448714764592,0.0764545514296531,0.05989031845608481,3.4388730785885837,-0.1513380297043758,94.69443384897598,93.37074240966918,112.74602030938277,95.88332573676973,111.50517336395357,95.87047076093253,95.2111710555804,93.82443152398469,98.63313736998212,95.40907174965257,93.0842725667811,0.0,0.0,0.0,0.0,1.0883169321310573,162.0,176.30715588352228,30.0,,1007077.6822687224
STL,116253.55951215838,1971.0000000000002,27.37047353760446,1971.0000000000002,1971.0000000000002,86.0,67.0,3.765925209210825,378.0,150.0,10.243167959045397,2.4645035007152,19.0,1328.3,5750.0,1335.0,622.0,557.0,94.0,497.0,83.0,33.0,6.864112022886396,0.5911315214936386,855.0,5.783074965597952,3.355578501359504,1.9059174794730105,9.021284029809282,0.6351743062671086,0.2548926721469468,1.3752069479076428,0.2895816199858886,0.719783551177445,3.276524826716937,0.25170945872920275,21.545818438463915,14.950940266251564,1.480404739057572,-0.2507066288949638,-0.7963658116048598,-1.0470724491067924,35.00986222991794,108.55121710226143,97.08364310395746,0.14948137061808328,0.08595977950011294,0.0635215890619589,3.395297847649998,0.48940038249388795,106.51899229355774,107.53694755942824,109.61281369970123,105.58766674288093,89.43755148581111,103.42435409473653,106.1091385361651,105.45713692492066,98.40754746737663,104.60150463937083,104.65699497721198,0.0,0.0,0.0,0.0,1.1634001106677707,163.0,189.63429454171157,28.000000000000004,,1006121.7298050139
WAS,115988.93775176714,1971.0,26.110055483772896,1971.0,1971.0,55.0,89.0,3.771271429365532,419.0,159.0,4.047275214714601,0.9524207646119935,16.0,1315.7,5656.0,1301.0,629.0,553.0,124.0,519.0,67.0,43.0,3.506422436725697,0.633123052367561,696.0,4.745304815272429,3.5378972490821656,1.4503137075017098,8.873762111217129,0.845962917924443,0.2546965751575799,1.3790732622554773,0.2748659803921259,0.733242731675154,3.8956552397100808,0.2367787441019989,5.455048682381472,5.333582342602313,0.5484507589447303,0.2511920783046695,-0.3100546259621886,-0.05886253248737368,34.95196473360188,112.17694297386981,113.12424105616681,0.12389711769020295,0.09104628223607204,0.03285083312609256,3.7633469141966693,-0.12438381034454854,87.54523223811057,104.94391870447569,90.20243652550015,106.84211989488973,109.52250931046994,105.39014269645986,106.29408455636234,102.80173592213174,99.0287461394115,86.767237925498,102.51808106643158,0.0,0.0,0.0,0.0,0.8935787694763242,158.99999999999997,142.07898288444693,12.999999999999998,,1005860.9424640875
