Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB%.1,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
Daulton Varsho,TOR,26,5,20,24,5,3,1,0,1,3,3,3,0,8,0,1,0,0,1,0,.250,1,7,4,1,105,39,66,0,1,1,12.5%,33.3%,0.38,.333,.450,.783,.200,.333,0.14,33.3%,8.3%,58.3%,14.3%,14.3%,0.0%,100.0%,.335,0.3,3,0.3,-0.1,0.7,-0.2,1.3,0.1,$1.0,5.0,111,0.02,-0.42,0.44,-0.67,-0.07,1.02,,0,0.03,-0.01,55.2%,94.2,23.8%,84.2,1.0%,89.0,16.2%,80.0,3.8%,87.5,,,,,,,1.9,-1.0,0.5,-0.9,-0.2,,,3.24,-3.89,54.72,-5.04,-4.66,,,31.7%,71.1%,48.6%,42.1%,81.3%,66.7%,42.9%,66.7%,16.2%,0.5,23.8%,,3.8%,,,30.5%,21.9%,13.3%,2.9%,,3.8%,,,,94.1,,89.2,,,94.6,85.1,78.8,73.6,,87.4,,,-0.1,,0.6,,,1.0,1.6,-1.1,7.0,,-9.2,,,9.3,,4.8,,,5.3,0.2,-4.1,-4.2,,4.9,,,1.5,,0.3,,,0.4,-1.0,-0.3,-0.2,,-0.2,,,6.05,,6.85,,,1.14,-4.37,-2.26,-6.70,,-4.66,,,27.8%,70.6%,48.6%,46.7%,75.0%,66.7%,48.6%,19.3,-0.3,0.2,0.1,26 - 26,0.8,0.0,0.2,30.8%,30.8%,38.5%,23.1%,46.2%,30.8%,50.0%,3.8%,,12.4%,26.7%,3.8%,,,,27.6%,25.7%,,87.4,,78.4,93.6,89.5,,,,95.3,83.7,,-9.3,,2.3,0.7,-0.2,,,,-0.1,0.4,,3.5,,-7.0,8.0,3.4,,,,4.3,-1.2,,-0.2,,-0.6,1.8,0.3,,,,0.1,-1.0,,-4.66,,-4.37,6.32,6.85,,,,0.37,-3.54,,25.0%,69.8%,47.6%,53.8%,73.0%,68.0%,50.5%,19.3,,101,140,152,103,110,124,114,180,19,152,116,76,88,155,138,91,95,91.6,27.6,0,0.0%,112.5,5,38.5%,13,12.4%,28.6%,.164,.211,.276,0.1
Seth Brown,OAK,30,5,20,21,5,2,2,0,1,1,2,1,0,4,0,0,0,0,1,0,.250,6,10,0,1,77,28,49,0,0,0,4.8%,19.0%,0.25,.286,.500,.786,.250,.267,0.60,0.0%,37.5%,62.5%,10.0%,10.0%,0.0%,0.0%,.333,0.2,3,0.4,0.0,0.7,-0.2,0.0,0.0,$0.0,4.5,114,0.62,-0.17,0.79,2.20,0.25,0.77,,0,0.37,0.43,38.2%,92.8,27.6%,84.0,17.1%,84.8,10.5%,80.1,2.6%,87.0,3.9%,87.0,,,1.3%,,0.5,0.2,-0.8,0.3,0.5,0.8,,1.71,1.04,-6.00,4.32,24.14,25.87,,35.6%,93.5%,59.2%,62.5%,100.0%,86.7%,40.8%,42.9%,7.8%,-0.8,23.7%,,17.1%,1.3%,,10.5%,30.3%,3.9%,6.6%,,6.6%,,,,93.1,,86.9,89.3,,90.7,84.0,76.6,81.9,,86.9,,,-3.9,,-0.4,-2.4,,9.2,0.3,-6.9,4.9,,-8.2,,,10.7,,6.3,2.3,,7.1,0.9,-0.1,-6.4,,5.8,,,-0.6,,0.7,0.8,,-0.3,-0.3,0.4,0.0,,0.5,,,-3.19,,5.28,82.13,,-4.37,-1.11,11.92,-0.86,,9.47,,,30.0%,91.7%,59.2%,50.0%,100.0%,86.7%,47.4%,19.3,-0.2,0.2,-1.1,30 - 30,-0.5,0.0,0.1,37.5%,37.5%,25.0%,18.8%,43.8%,37.5%,28.6%,3.9%,,11.8%,23.7%,18.4%,3.9%,,,10.5%,27.6%,,88.2,,80.9,93.8,87.6,87.6,,,91.3,84.6,,-7.8,,0.3,-3.2,-0.4,-5.1,,,9.0,1.2,,4.8,,-5.6,9.3,4.6,2.7,,,5.7,-0.3,,0.5,,0.4,-0.6,1.0,0.8,,,-0.3,-0.6,,17.29,,3.97,-3.19,7.27,25.87,,,-4.37,-3.00,,28.9%,89.5%,59.2%,45.5%,100.0%,86.7%,50.0%,19.3,,101,53,87,89,122,155,91,0,87,163,81,93,108,101,112,86,115,91.4,18.9,1,6.3%,109.0,7,43.8%,16,3.9%,11.7%,.198,.461,.298,0.0
Victor Robles,WSN,26,5,14,17,4,4,0,0,0,3,0,3,0,1,0,0,0,1,0,0,.286,9,2,2,0,60,25,35,0,0,0,17.6%,5.9%,3.00,.412,.286,.697,.000,.308,4.50,15.4%,69.2%,15.4%,0.0%,0.0%,0.0%,0.0%,.333,0.1,2,0.1,-0.7,0.5,0.1,0.2,0.0,$0.2,2.2,105,-0.01,-0.24,0.23,-0.84,-0.09,0.83,,0,0.01,-0.02,48.3%,93.8,33.3%,81.5,5.0%,88.3,3.3%,75.5,10.0%,82.2,,,,,,,0.4,-0.3,0.6,0.5,-1.3,,,1.40,-1.53,19.49,22.90,-21.85,,,27.3%,77.8%,50.0%,77.8%,81.0%,80.0%,45.0%,70.6%,10.0%,0.1,35.0%,,5.0%,,,15.0%,31.7%,3.3%,,,10.0%,,,,93.4,,87.8,,,93.9,81.0,75.5,,,82.1,,,0.6,,-2.1,,,-4.9,2.7,-5.7,,,4.9,,,10.2,,2.3,,,7.1,0.4,0.2,,,7.0,,,0.7,,0.6,,,-0.2,-0.3,0.5,,,-1.3,,,3.10,,19.57,,,-2.61,-1.83,22.90,,,-21.66,,,18.5%,75.8%,50.0%,40.0%,88.0%,80.0%,55.0%,18.3,-0.6,-0.1,0.2,26 - 26,0.2,0.1,0.0,53.8%,23.1%,23.1%,23.1%,46.2%,30.8%,23.5%,10.0%,,,40.0%,3.3%,,,,10.0%,36.7%,,82.6,,,94.1,88.8,,,,94.3,81.3,,5.3,,,0.2,-3.4,,,,-3.5,2.7,,5.4,,,8.9,2.2,,,,4.8,-1.0,,-1.3,,,0.3,0.5,,,,0.1,0.2,,-21.66,,,1.36,27.23,,,,1.51,0.69,,12.0%,77.1%,50.0%,33.3%,85.2%,80.0%,58.3%,18.3,,113,199,26,127,68,0,102,73,157,44,0,127,71,91,131,89,101,86.8,7.9,0,0.0%,105.0,5,38.5%,13,8.3%,18.3%,.216,.277,.328,0.1
Spencer Torkelson,DET,23,5,19,20,5,3,1,0,1,3,4,1,0,3,0,0,0,0,0,0,.263,10,2,4,0,70,22,48,1,0,0,5.0%,15.0%,0.33,.300,.474,.774,.211,.267,5.00,25.0%,62.5%,12.5%,0.0%,50.0%,10.0%,0.0%,.332,0.2,3,0.2,-0.1,0.6,-0.4,0.2,0.0,$0.2,2.0,109,0.13,-0.31,0.44,1.97,0.20,0.91,,0,0.17,-0.03,51.4%,94.9,12.9%,85.0,7.1%,90.6,11.4%,79.5,14.3%,82.8,2.9%,88.5,,,,,1.4,0.0,-0.1,0.7,-0.3,-0.2,,3.99,-0.35,-1.58,8.65,-3.44,-10.34,,35.3%,72.2%,54.3%,83.3%,76.9%,78.9%,51.4%,70.0%,11.4%,-0.1,35.7%,,2.9%,,,17.1%,15.7%,11.4%,,,17.1%,,,,95.0,,89.6,,,94.0,86.3,79.4,,,83.7,,,-0.6,,0.4,,,0.9,5.7,0.7,,,7.6,,,10.7,,5.8,,,5.3,1.7,-7.1,,,4.8,,,0.7,,-0.1,,,-0.1,-0.2,0.7,,,-0.6,,,2.62,,-5.20,,,-0.57,-1.95,8.65,,,-4.59,,,29.0%,74.4%,54.3%,77.8%,79.3%,78.9%,55.7%,18.2,-0.5,0.0,-0.1,23 - 23,0.1,0.0,0.0,56.3%,37.5%,6.3%,18.8%,25.0%,56.3%,25.0%,17.1%,,11.4%,37.1%,2.9%,,,,15.7%,15.7%,,84.1,,79.8,95.4,90.2,,,,94.1,86.6,,7.3,,0.7,-0.8,1.2,,,,1.6,6.3,,3.1,,-8.7,9.3,4.6,,,,3.3,0.1,,-0.6,,0.7,0.4,-0.1,,,,0.1,-0.2,,-4.59,,8.65,1.68,-5.20,,,,1.36,-1.95,,31.3%,73.7%,54.3%,70.0%,82.1%,78.9%,54.3%,18.2,,106,56,68,93,116,131,91,135,144,33,406,139,108,25,112,49,173,91.9,-3.4,0,0.0%,111.7,9,56.3%,16,14.3%,25.7%,.255,.333,.284,0.0
Ramon Urias,BAL,29,4,15,17,3,1,1,0,1,2,2,0,0,7,2,0,0,0,0,0,.200,4,2,2,0,66,20,46,0,0,0,0.0%,41.2%,0.00,.294,.467,.761,.267,.286,2.00,25.0%,50.0%,25.0%,0.0%,50.0%,0.0%,0.0%,.330,0.1,2,0.1,-0.9,0.5,0.1,0.0,0.0,$0.0,2.6,107,0.06,-0.24,0.30,-0.09,-0.02,0.69,,0,-0.01,0.09,39.4%,94.3,28.8%,82.9,19.7%,86.4,3.0%,80.0,9.1%,85.5,,,,,,,0.3,0.5,0.9,0.0,-0.6,,,1.13,2.50,7.03,-0.08,-10.68,,,30.6%,70.0%,48.5%,45.5%,76.2%,65.6%,45.5%,82.4%,16.7%,0.2,25.8%,,18.2%,,,13.6%,30.3%,3.0%,,,9.1%,,,,94.4,,86.0,,,93.7,83.3,80.1,,,85.6,,,1.3,,0.5,,,-0.5,0.9,4.4,,,10.2,,,8.2,,3.3,,,5.6,-0.2,4.6,,,2.8,,,-0.4,,0.8,,,0.7,-0.4,0.0,,,-0.6,,,-2.57,,6.46,,,8.12,-2.08,-0.08,,,-10.68,,,33.3%,63.6%,48.5%,45.5%,76.2%,65.6%,50.0%,18.9,-0.9,0.0,0.1,29 - 29,0.3,0.0,0.1,25.0%,50.0%,25.0%,12.5%,75.0%,12.5%,47.1%,9.1%,,,25.8%,21.2%,,,,13.6%,30.3%,,86.0,,,95.1,86.7,,,,94.3,83.2,,9.6,,,1.5,0.9,,,,-0.3,1.1,,1.5,,,6.8,1.2,,,,4.1,-1.2,,-0.6,,,-0.4,0.7,,,,0.7,-0.3,,-10.68,,,-2.57,4.96,,,,8.12,-1.68,,36.4%,60.6%,48.5%,50.0%,75.0%,65.6%,50.0%,18.9,,81,0,187,91,114,165,98,135,116,65,406,62,143,101,75,148,38,89.7,7.2,1,12.5%,102.8,4,50.0%,8,21.2%,37.9%,.216,.384,.290,0.1
Giancarlo Stanton,NYY,33,5,20,22,4,2,0,0,2,3,4,2,0,3,0,0,0,1,0,0,.200,9,6,2,0,86,34,52,1,0,0,9.1%,13.6%,0.67,.273,.500,.773,.300,.133,1.50,11.8%,52.9%,35.3%,0.0%,33.3%,11.1%,0.0%,.328,0.1,3,0.2,0.0,0.7,-0.3,0.5,0.0,$0.4,1.1,106,-0.18,-0.62,0.44,-0.09,-0.01,1.16,,0,0.29,-0.44,52.4%,93.7,25.0%,85.0,6.0%,87.8,3.6%,83.0,11.9%,87.9,1.2%,90.0,,,2.3%,,0.3,0.7,-0.1,-0.2,-0.1,0.1,,0.69,3.17,-1.87,-7.51,-0.68,8.05,,32.0%,64.7%,45.2%,62.5%,72.7%,68.4%,40.5%,63.6%,14.0%,0.0,16.7%,,6.0%,6.0%,,34.5%,26.2%,,3.6%,,7.1%,,,,92.4,,87.8,88.5,,94.4,84.7,,85.9,,87.6,,,1.0,,1.6,-9.1,,-9.6,0.5,,-0.8,,-1.9,,,6.5,,6.0,4.1,,4.8,2.8,,-1.6,,-2.9,,,-0.3,,-0.1,0.1,,-0.5,0.2,,0.3,,-0.1,,,-1.90,,-1.87,2.62,,-1.75,1.04,,9.00,,-1.98,,,18.4%,67.4%,45.2%,28.6%,77.4%,68.4%,54.8%,18.3,-0.3,0.0,0.0,33 - 33,0.1,0.0,0.0,41.2%,29.4%,29.4%,35.3%,11.8%,52.9%,31.8%,8.3%,,,15.5%,7.1%,3.6%,,,38.1%,27.4%,,86.7,,,93.7,87.6,90.5,,,93.6,84.4,,-5.2,,,2.0,1.8,-8.0,,,-7.8,0.8,,-2.7,,,8.5,4.5,0.7,,,2.7,0.3,,-0.1,,,-0.7,-0.1,0.1,,,0.0,0.5,,-1.13,,,-5.21,-0.85,2.54,,,-0.12,1.96,,22.0%,67.4%,45.2%,33.3%,79.3%,68.4%,51.2%,18.3,,81,102,62,85,122,186,46,64,122,92,271,102,84,119,211,23,163,94.4,5.3,3,17.6%,117.8,9,52.9%,17,16.3%,30.2%,.293,.707,.449,0.0
LaMonte Wade Jr.,SFG,29,4,14,19,3,3,0,0,0,0,1,3,0,5,2,0,0,0,1,0,.214,5,1,3,1,77,35,42,1,0,0,15.8%,26.3%,0.60,.421,.214,.635,.000,.333,5.00,33.3%,55.6%,11.1%,100.0%,0.0%,20.0%,0.0%,.328,0.1,2,0.1,0.3,0.6,-0.3,1.2,0.1,$0.9,3.9,105,0.08,-0.19,0.27,0.33,0.04,0.75,,0,0.01,0.09,55.3%,92.1,10.5%,85.8,13.2%,92.3,6.6%,81.8,14.5%,88.5,,,,,1.3%,,-0.2,0.8,0.0,0.3,-0.8,,,-0.38,9.56,-0.35,6.26,-7.55,,,27.1%,75.0%,44.7%,38.5%,90.5%,70.6%,36.8%,52.6%,13.0%,0.3,43.4%,,13.2%,,,11.8%,10.5%,2.6%,3.9%,,14.5%,,,,90.7,,92.3,,,97.3,85.6,80.3,82.8,,88.4,,,-5.7,,1.2,,,-5.0,1.2,5.9,8.3,,-6.3,,,9.5,,4.7,,,7.9,1.0,-6.5,-5.3,,4.9,,,-0.2,,0.0,,,0.1,0.8,0.4,-0.1,,-0.8,,,-0.73,,-0.35,,,1.06,9.56,21.28,-4.78,,-7.55,,,19.5%,71.4%,43.4%,25.0%,84.0%,69.7%,46.1%,17.2,0.0,0.1,0.1,29 - 29,0.5,0.1,0.1,44.4%,33.3%,22.2%,33.3%,44.4%,22.2%,42.1%,14.5%,,5.3%,43.4%,11.8%,,,,13.2%,11.8%,,88.5,,82.2,91.0,92.2,,,,96.8,85.2,,-6.0,,9.1,-5.7,1.8,,,,-1.7,2.5,,3.6,,-8.2,8.5,3.4,,,,6.2,-1.0,,-0.8,,0.2,0.0,-0.2,,,,0.0,0.8,,-7.55,,5.99,-0.03,-2.36,,,,-0.09,8.97,,17.1%,74.3%,43.4%,14.3%,84.6%,69.7%,46.1%,17.2,,85,178,116,130,51,0,111,159,126,32,0,105,103,88,189,86,73,80.1,6.9,0,0.0%,104.2,3,33.3%,9,10.4%,23.4%,.201,.258,.335,0.1
Masataka Yoshida,BOS,29,5,21,24,5,4,0,0,1,5,6,2,0,1,1,0,0,0,1,0,.238,14,4,2,0,84,28,56,3,0,0,8.3%,4.2%,2.00,.333,.381,.714,.143,.211,3.50,10.0%,70.0%,20.0%,0.0%,25.0%,21.4%,0.0%,.321,0.0,3,-0.1,0.6,0.7,-0.3,1.4,0.1,$1.1,6.3,95,0.19,-0.41,0.60,4.46,0.44,1.42,,0,0.29,-0.15,44.0%,94.6,22.6%,84.5,11.9%,89.4,8.3%,80.0,11.9%,86.5,1.2%,88.0,,,,,3.1,-0.9,0.4,-0.4,-0.2,0.1,,8.39,-4.63,4.28,-5.62,-2.35,5.00,,26.2%,61.9%,44.0%,81.8%,80.8%,81.1%,50.0%,75.0%,8.3%,0.4,38.1%,,11.9%,1.2%,,6.0%,19.0%,10.7%,1.2%,,11.9%,,,,94.7,,89.4,88.1,,93.8,85.7,78.5,84.9,,86.5,,,-0.8,,-0.7,-3.2,,1.1,1.9,-0.7,1.6,,-10.1,,,10.2,,5.2,6.6,,6.3,1.2,-4.0,-7.2,,4.4,,,3.5,,0.4,0.1,,-0.4,-0.8,-0.4,0.0,,-0.2,,,11.07,,4.28,5.00,,-8.76,-5.28,-4.21,-4.42,,-2.35,,,22.9%,59.2%,44.0%,75.0%,82.8%,81.1%,58.3%,19.2,0.3,0.1,0.1,29 - 29,0.3,0.0,0.2,45.0%,35.0%,20.0%,25.0%,50.0%,25.0%,16.7%,11.9%,,7.1%,29.8%,11.9%,1.2%,,,14.3%,23.8%,,87.3,,79.7,94.7,90.2,89.4,,,96.4,84.8,,-8.7,,5.4,0.5,0.3,-2.2,,,-1.4,0.2,,2.4,,-7.8,8.7,3.5,4.1,,,7.2,-0.8,,-0.2,,-0.4,3.7,0.4,0.1,,,-0.6,-0.8,,-2.35,,-7.26,14.76,4.28,5.00,,,-4.88,-4.16,,27.0%,57.4%,44.0%,80.0%,81.5%,81.1%,56.0%,19.2,,96,94,19,103,93,89,72,54,162,52,203,111,100,81,150,98,77,88.6,-6.9,1,5.0%,108.4,9,45.0%,20,22.6%,31.0%,.287,.514,.401,0.1
Christian Yelich,MIL,31,5,20,24,5,4,1,0,0,5,0,4,0,9,0,0,0,1,1,0,.250,3,2,6,0,106,44,62,0,0,0,16.7%,37.5%,0.44,.375,.300,.675,.050,.455,1.50,54.5%,27.3%,18.2%,0.0%,0.0%,0.0%,0.0%,.317,-0.1,3,-0.1,0.5,0.7,-0.2,1.6,0.2,$1.3,6.1,95,-0.22,-0.43,0.21,-1.38,-0.14,0.91,,0,0.01,-0.25,38.5%,92.4,19.2%,84.6,14.4%,89.9,10.6%,79.1,16.3%,86.1,1.0%,91.0,,,1.9%,,1.8,-0.8,-1.3,-0.2,-0.2,0.0,,4.48,-4.24,-8.48,-2.24,-1.29,4.60,,32.9%,61.8%,42.3%,65.2%,76.2%,70.5%,32.7%,58.3%,12.3%,0.6,26.0%,,19.2%,1.0%,,13.5%,15.4%,9.6%,,,15.4%,,,,93.0,,89.6,86.7,,91.0,83.4,78.5,,,86.0,,,-4.4,,1.4,-9.1,,-4.1,-4.9,5.5,,,-7.4,,,9.3,,6.1,2.1,,3.4,0.7,-4.8,,,3.4,,,1.6,,-1.5,0.0,,0.2,-0.6,-0.2,,,-0.3,,,5.93,,-7.74,3.58,,1.68,-3.76,-2.46,,,-1.60,,,29.3%,58.7%,42.3%,52.9%,81.5%,70.5%,44.2%,18.5,0.2,0.1,0.4,31 - 31,0.5,0.1,0.1,36.4%,27.3%,36.4%,18.2%,27.3%,54.5%,54.2%,16.3%,,9.6%,26.9%,15.4%,,,,12.5%,19.2%,,86.6,,78.9,93.5,90.3,,,,91.4,85.0,,-6.9,,6.3,-4.1,1.5,,,,-3.8,-3.1,,1.5,,-6.8,8.2,5.6,,,,1.4,-0.2,,-0.2,,-0.2,1.6,-1.3,,,,0.2,-0.9,,-1.29,,-2.46,5.86,-7.88,,,,1.49,-4.65,,30.5%,57.8%,42.3%,50.0%,84.6%,70.5%,43.3%,18.5,,99,188,165,116,72,30,151,260,62,52,0,86,84,144,103,53,178,89.2,9.3,0,0.0%,108.8,6,54.5%,11,17.0%,29.2%,.200,.285,.315,0.1
Nolan Arenado,STL,32,5,22,23,7,6,1,0,0,3,5,1,0,3,0,0,0,3,0,0,.318,11,3,5,0,71,20,51,1,0,0,4.3%,13.0%,0.33,.348,.364,.711,.045,.368,3.67,26.3%,57.9%,15.8%,0.0%,0.0%,9.1%,0.0%,.317,-0.1,3,0.0,0.0,0.7,0.1,0.2,0.0,$0.2,1.9,99,0.30,-0.31,0.61,0.69,0.08,0.99,,0,0.03,0.28,44.9%,94.3,13.0%,84.3,10.1%,87.1,8.7%,79.8,10.1%,84.7,13.0%,85.3,,,2.8%,,-2.0,-0.8,0.6,0.2,0.9,0.3,,-6.42,-8.99,8.47,2.74,12.69,3.61,,47.5%,73.3%,58.6%,73.7%,77.3%,75.6%,42.9%,73.9%,14.1%,-0.7,27.1%,,4.3%,10.0%,,17.1%,21.4%,8.6%,,,11.4%,,,,94.5,,89.7,86.1,,94.1,84.2,79.8,,,85.4,,,-2.7,,-0.2,-9.2,,-2.5,2.8,6.0,,,-4.2,,,9.6,,6.1,2.7,,5.0,1.9,-4.8,,,3.5,,,-0.3,,-0.1,0.7,,-1.6,-0.6,0.2,,,0.8,,,-1.47,,-3.47,10.00,,-13.54,-4.24,2.74,,,10.55,,,47.2%,70.6%,58.6%,64.7%,83.3%,75.6%,48.6%,18.5,0.1,-0.1,0.1,32 - 32,-0.7,0.1,-0.7,47.4%,42.1%,10.5%,10.5%,63.2%,26.3%,17.4%,11.4%,,5.7%,27.1%,5.7%,10.0%,,,18.6%,21.4%,,84.9,,80.0,94.7,90.1,86.5,,,93.8,83.5,,-3.0,,8.4,-2.6,0.5,-8.8,,,-3.0,2.5,,2.1,,-7.4,8.7,5.0,1.3,,,3.8,-0.4,,0.6,,0.3,-0.3,0.6,0.7,,,-1.7,-1.2,,7.42,,6.70,-1.39,15.91,10.00,,,-12.83,-7.91,,45.7%,71.4%,58.6%,68.8%,80.0%,75.6%,50.0%,18.5,,126,49,57,107,87,28,122,125,131,45,0,112,130,42,60,122,86,88.1,5.5,1,5.3%,108.0,9,47.4%,19,12.7%,26.8%,.282,.370,.309,0.1
MJ Melendez,KCR,24,4,14,17,2,0,1,0,1,2,2,3,0,8,0,0,0,2,0,0,.143,3,2,1,0,77,32,45,0,0,0,17.6%,47.1%,0.38,.294,.429,.723,.286,.200,1.50,16.7%,50.0%,33.3%,0.0%,50.0%,0.0%,0.0%,.316,-0.1,2,-0.1,0.1,0.5,-0.1,0.2,0.0,$0.2,1.1,94,-0.26,-0.46,0.19,-0.85,-0.09,0.98,,0,-0.07,-0.20,50.6%,93.0,10.4%,80.4,,,20.8%,81.2,11.7%,88.4,6.5%,83.2,,,,,-0.1,0.0,,-0.5,-0.3,-0.2,,-0.19,-0.50,,-3.03,-3.88,-4.61,,25.0%,52.0%,33.8%,46.2%,53.8%,50.0%,32.5%,58.8%,16.9%,-0.2,42.9%,,,6.5%,,7.8%,10.4%,20.8%,,,11.7%,,,,92.6,,,83.0,,94.5,80.5,81.1,,,88.5,,,-4.2,,,-7.2,,-9.3,1.1,7.0,,,-8.8,,,7.4,,,-0.3,,3.9,2.4,-6.7,,,3.2,,,-1.7,,,-0.2,,1.6,0.0,-0.5,,,-0.3,,,-5.10,,,-4.61,,26.30,-0.43,-3.03,,,-3.88,,,25.6%,44.1%,33.8%,45.5%,53.3%,50.0%,44.2%,17.7,0.0,0.0,0.1,24 - 24,-0.4,0.0,-0.3,66.7%,16.7%,16.7%,16.7%,50.0%,33.3%,70.6%,11.7%,,15.6%,42.9%,,6.5%,,,7.8%,15.6%,,88.1,,80.0,92.5,,83.1,,,94.6,81.5,,-8.7,,6.9,-3.9,,-6.8,,,-8.8,3.9,,1.9,,-9.2,6.7,,-1.6,,,3.0,-0.9,,-0.3,,-0.2,-1.7,,-0.2,,,1.6,-0.3,,-3.88,,-1.89,-5.10,,-4.61,,,26.30,-2.44,,25.6%,44.1%,33.8%,45.5%,53.3%,50.0%,44.2%,17.7,0.0,58,198,214,91,105,177,68,90,116,87,406,165,48,67,100,98,103,92.8,-0.5,0,0.0%,113.2,2,33.3%,6,24.7%,41.6%,.216,.468,.360,-0.1
